date,assests
6-Mar,96.9
6-Jun,107.4
6-Sep,107.2
6-Dec,116.2
7-Mar,123.7
7-Jun,134
7-Sep,123
7-Dec,93.2
8-Mar,93.7
8-Jun,105.6
8-Sep,101.5
8-Dec,158.8
9-Mar,118.7
9-Jun,111.9
9-Sep,87
9-Dec,86.1
10-Mar,83.4
10-Jun,85.7
10-Sep,74.8
10-Dec,76
11-Mar,75.7
11-Jun,75.9
11-Sep,75.2
11-Dec,87.9
12-Mar,91
12-Jun,90.1
12-Sep,83.9
12-Dec,95.8
13-Mar,90.5
