Density (people per sq. km.),,,,,                                                                                                                                                                                      
,,,,,                                                                                                                                                                                                                  
Location,Location Type,TimeFrame,Data Type,Data,Footnotes                                                                                                                                                              
Lebanon,Middle East,2011,Number,410,                                                                                                                                                                                   
Lesotho,Africa,2011,Number,72,                                                                                                                                                                                         
Liberia,Africa,2011,Number,37,                                                                                                                                                                                         
Libya,Africa,2011,Number,4,                                                                                                                                                                                            
Liechtenstein,Europe,2011,Number,226,                                                                                                                                                                                  
Lithuania,Europe,2011,Number,49,                                                                                                                                                                                       
Luxembourg,Europe,2011,Number,200,                                                                                                                                                                                     
Macao, SAR                                                                                                                                                                                                             
Macedonia,Europe,2011,Number,80,                                                                                                                                                                                       
Madagascar,Africa,2011,Number,36,                                                                                                                                                                                      
Malawi,Africa,2011,Number,134,                                                                                                                                                                                         
Malaysia,Asia,2011,Number,88,                                                                                                                                                                                          
Maldives,Asia,2011,Number,"1,091",                                                                                                                                                                                     
Mali,Africa,2011,Number,12,                                                                                                                                                                                            
Malta,Europe,2011,Number,"1,304",                                                                                                                                                                                      
Marshall Islands,Pacific,2011,Number,304,                                                                                                                                                                              
Martinique,Caribbean,2011,Number,364,                                                                                                                                                                                  
Mauritania,Africa,2011,Number,3,                                                                                                                                                                                       
Mauritius,Africa,2011,Number,630,                                                                                                                                                                                      
Mayotte,Africa,2011,Number,563,                                                                                                                                                                                        
Mexico,North America,2011,Number,59,                                                                                                                                                                                   
Moldova,Europe,2011,Number,121,                                                                                                                                                                                        
Monaco,Europe,2011,Number,"36,242",                                                                                                                                                                                    
Mongolia,Asia,2011,Number,2,                                                                                                                                                                                           
Montenegro,Europe,2011,Number,46,                                                                                                                                                                                      
Morocco,Africa,2011,Number,72,                                                                                                                                                                                         
Mozambique,Africa,2011,Number,29,                                                                                                                                                                                      
Myanmar,Asia,2011,Number,80,                                                                                                                                                                                           
Namibia,Africa,2011,Number,3,                                                                                                                                                                                          
Nauru,Pacific,2011,Number,485,                                                                                                                                                                                         
Nepal,Asia,2011,Number,207,                                                                                                                                                                                            
Netherlands,Europe,2011,Number,402,                                                                                                                                                                                    
New Caledonia,Pacific,2011,Number,14,                                                                                                                                                                                  
New Zealand,Pacific,2011,Number,16,                                                                                                                                                                                    
Nicaragua,Central America,2011,Number,45,                                                                                                                                                                              
Niger,Africa,2011,Number,13,                                                                                                                                                                                           
Nigeria,Africa,2011,Number,176,                                                                                                                                                                                        
Norway,Europe,2011,Number,13,                                                                                                                                                                                          
Oman,Middle East,2011,Number,10,                                                                                                                                                                                       
Pakistan,Asia,2011,Number,222,                                                                                                                                                                                         
Palau,Pacific,2011,Number,45,                                                                                                                                                                                          
Palestinian Territory,Middle East,2011,Number,692,                                                                                                                                                                     
Panama,Central America,2011,Number,47,                                                                                                                                                                                 
Papua New Guinea,Pacific,2011,Number,15,                                                                                                                                                                               
Paraguay,South America,2011,Number,16,                                                                                                                                                                                 
Peru,South America,2011,Number,23,                                                                                                                                                                                     
Philippines,Pacific,2011,Number,319,                                                                                                                                                                                   
Poland,Europe,2011,Number,122,                                                                                                                                                                                         
Portugal,Europe,2011,Number,116,                                                                                                                                                                                       
Puerto Rico,Caribbean,2011,Number,418,                                                                                                                                                                                 
Qatar,Middle East,2011,Number,157,                                                                                                                                                                                     
Reunion,Africa,2011,Number,341,                                                                                                                                                                                        
Romania,Europe,2011,Number,90,                                                                                                                                                                                         
Russia,Europe,2011,Number,8,                                                                                                                                                                                           
Rwanda,Africa,2011,Number,415,                                                                                                                                                                                         
Samoa,Pacific,2011,Number,67,                                                                                                                                                                                          
San Marino,Europe,2011,Number,524,                                                                                                                                                                                     
Sao Tome and Principe,Africa,2011,Number,187,                                                                                                                                                                          
Saudi Arabia,Middle East,2011,Number,13,                                                                                                                                                                               
Senegal,Africa,2011,Number,65,                                                                                                                                                                                         
Serbia,Europe,2011,Number,94,                                                                                                                                                                                          
Seychelles,Africa,2011,Number,194,                                                                                                                                                                                     
Sierra Leone,Africa,2011,Number,75,                                                                                                                                                                                    
Singapore,Pacific,2011,Number,"7,565",                                                                                                                                                                                 
Slovakia,Europe,2011,Number,111,                                                                                                                                                                                       
Slovenia,Europe,2011,Number,101,                                                                                                                                                                                       
Solomon Islands,Pacific,2011,Number,19,                                                                                                                                                                                
Somalia,Africa,2011,Number,16,                                                                                                                                                                                         
South Africa,Africa,2011,Number,41,                                                                                                                                                                                    
Spain,Europe,2011,Number,91,                                                                                                                                                                                           
Sri Lanka,Asia,2011,Number,318,                                                                                                                                                                                        
St. Kitts-Nevis,Caribbean,2011,Number,192,                                                                                                                                                                             
St. Lucia,Caribbean,2011,Number,327,                                                                                                                                                                                   
St. Vincent & the Grenadines,Caribbean,2011,Number,282,                                                                                                                                                                
Sudan,Africa,2011,Number,18,                                                                                                                                                                                           
Suriname,South America,2011,Number,3,                                                                                                                                                                                  
Swaziland,Africa,2011,Number,69,                                                                                                                                                                                       
Sweden,Europe,2011,Number,21,                                                                                                                                                                                          
Switzerland,Europe,2011,Number,191,                                                                                                                                                                                    
Syria,Middle East,2011,Number,122,                                                                                                                                                                                     
Taiwan,Asia,2011,Number,644,                                                                                                                                                                                           
Tajikistan,Asia,2011,Number,53,                                                                                                                                                                                        
Tanzania,Africa,2011,Number,49,                                                                                                                                                                                        
Thailand,Asia,2011,Number,135,                                                                                                                                                                                         
Timor-Leste,Pacific,2011,Number,80,                                                                                                                                                                                    
Togo,Africa,2011,Number,103,                                                                                                                                                                                           
Tonga,Pacific,2011,Number,139,                                                                                                                                                                                         
Trinidad and Tobago,Caribbean,2011,Number,258,                                                                                                                                                                         
