CO2
1.36
1.42
5.93
5.36
0.06
9.11
7.32
7.93
6.72
0.78
1.8
0.2
2.27
0.28
5.86
3.46
1.46
0.14
2.62
0.79
7.48
0.86
7.84
2.87
2.45
