color,type,pack
blue,plain,33
red,plain,33
brown,plain,33
orange,plain,33
brown,plain,33
brown,plain,33
green,plain,33
brown,plain,33
orange,plain,33
green,plain,33
orange,plain,33
orange,plain,33
orange,plain,33
red,plain,34
blue,plain,34
green,plain,34
orange,plain,34
brown,plain,34
yellow,plain,34
yellow,plain,34
blue,plain,34
yellow,plain,34
red,plain,34
brown,plain,34
orange,plain,34
orange,plain,34
green,plain,34
green,plain,34
red,plain,34
brown,plain,34
orange,plain,34
red,plain,34
yellow,plain,34
green,plain,34
green,plain,34
orange,plain,34
red,plain,34
yellow,plain,34
yellow,plain,34
green,plain,34
red,plain,34
yellow,plain,34
orange,plain,34
red,plain,34
brown,plain,34
blue,plain,34
orange,plain,34
green,plain,34
yellow,plain,34
brown,plain,34
orange,plain,34
blue,plain,34
red,plain,34
yellow,plain,34
blue,plain,34
blue,plain,34
brown,plain,34
brown,plain,34
green,plain,34
yellow,plain,34
blue,plain,34
red,plain,34
yellow,plain,34
orange,plain,34
red,plain,34
brown,plain,34
green,plain,34
orange,plain,34
orange,plain,34
red,plain,34
brown,plain,35
orange,plain,35
orange,plain,35
blue,plain,35
yellow,plain,35
yellow,plain,35
blue,plain,35
blue,plain,35
blue,plain,35
yellow,plain,35
blue,plain,35
red,plain,35
green,plain,35
orange,plain,35
orange,plain,35
yellow,plain,35
red,plain,35
orange,plain,35
brown,plain,35
yellow,plain,35
red,plain,35
brown,plain,35
green,plain,35
orange,plain,35
green,plain,35
red,plain,35
orange,plain,35
red,plain,35
green,plain,35
blue,plain,35
orange,plain,35
yellow,plain,35
green,plain,35
blue,plain,35
yellow,plain,35
brown,plain,35
blue,plain,35
green,plain,35
orange,plain,35
brown,plain,35
brown,plain,35
orange,plain,35
red,plain,35
yellow,plain,35
green,plain,35
red,plain,35
brown,plain,35
orange,plain,35
red,plain,35
yellow,plain,35
green,plain,35
brown,plain,35
brown,plain,35
red,plain,35
green,plain,35
orange,plain,35
red,plain,36
orange,plain,36
brown,plain,36
green,plain,36
brown,plain,36
orange,plain,36
brown,plain,36
brown,plain,36
orange,plain,36
blue,plain,36
orange,plain,36
yellow,plain,36
blue,plain,36
blue,plain,36
orange,plain,36
green,plain,36
green,plain,36
blue,plain,36
yellow,plain,36
orange,plain,36
blue,plain,36
green,plain,36
green,plain,36
brown,plain,36
orange,plain,36
brown,plain,36
green,plain,36
orange,plain,36
red,plain,36
blue,plain,36
blue,plain,36
yellow,plain,36
yellow,plain,36
green,plain,36
brown,plain,36
orange,plain,36
yellow,plain,36
red,plain,36
brown,plain,36
orange,plain,36
red,plain,36
brown,plain,36
yellow,plain,36
blue,plain,36
brown,plain,36
red,plain,36
brown,plain,36
orange,plain,36
orange,plain,36
orange,plain,36
green,plain,36
orange,plain,36
brown,plain,36
green,plain,36
yellow,plain,36
red,plain,36
yellow,plain,37
orange,plain,37
blue,plain,37
green,plain,37
brown,plain,37
blue,plain,37
orange,plain,37
orange,plain,37
green,plain,37
green,plain,37
green,plain,37
green,plain,37
blue,plain,37
orange,plain,37
blue,plain,37
blue,plain,37
green,plain,37
yellow,plain,37
orange,plain,37
blue,plain,37
yellow,plain,37
blue,plain,37
blue,plain,37
blue,plain,37
yellow,plain,37
yellow,plain,37
green,plain,37
blue,plain,37
green,plain,37
orange,plain,37
green,plain,37
blue,plain,37
blue,plain,37
orange,plain,37
orange,plain,37
blue,plain,37
orange,plain,37
yellow,plain,37
yellow,plain,37
orange,plain,37
yellow,plain,37
blue,plain,37
orange,plain,37
red,plain,37
yellow,plain,37
green,plain,37
green,plain,37
red,plain,37
brown,plain,37
orange,plain,37
brown,plain,37
yellow,plain,37
orange,plain,37
blue,plain,37
orange,plain,37
brown,plain,38
brown,plain,38
blue,plain,38
red,plain,38
red,plain,38
red,plain,38
yellow,plain,38
orange,plain,38
red,plain,38
orange,plain,38
yellow,plain,38
red,plain,38
green,plain,38
blue,plain,38
brown,plain,38
brown,plain,38
brown,plain,38
blue,plain,38
yellow,plain,38
brown,plain,38
green,plain,38
red,plain,38
green,plain,38
orange,plain,38
orange,plain,38
blue,plain,38
brown,plain,38
blue,plain,38
green,plain,38
orange,plain,38
green,plain,38
orange,plain,38
green,plain,38
orange,plain,38
brown,plain,38
green,plain,38
red,plain,38
yellow,plain,38
red,plain,38
green,plain,38
red,plain,38
brown,plain,38
orange,plain,38
green,plain,38
green,plain,38
red,plain,38
brown,plain,38
green,plain,38
yellow,plain,38
blue,plain,38
green,plain,38
brown,plain,38
orange,plain,38
brown,plain,38
blue,plain,38
red,plain,39
blue,plain,39
blue,plain,39
brown,plain,39
blue,plain,39
orange,plain,39
red,plain,39
blue,plain,39
yellow,plain,39
orange,plain,39
red,plain,39
orange,plain,39
blue,plain,39
green,plain,39
orange,plain,39
green,plain,39
green,plain,39
green,plain,39
green,plain,39
blue,plain,39
orange,plain,39
green,plain,39
orange,plain,39
orange,plain,39
yellow,plain,39
green,plain,39
red,plain,39
yellow,plain,39
yellow,plain,39
yellow,plain,39
green,plain,39
brown,plain,39
blue,plain,39
yellow,plain,39
yellow,plain,39
red,plain,39
green,plain,39
red,plain,39
blue,plain,39
blue,plain,39
brown,plain,39
yellow,plain,39
brown,plain,39
green,plain,39
red,plain,39
yellow,plain,39
orange,plain,39
orange,plain,39
red,plain,39
yellow,plain,39
brown,plain,39
orange,plain,39
orange,plain,39
red,plain,39
red,plain,39
red,plain,40
green,plain,40
blue,plain,40
orange,plain,40
blue,plain,40
blue,plain,40
green,plain,40
orange,plain,40
blue,plain,40
brown,plain,40
orange,plain,40
brown,plain,40
green,plain,40
blue,plain,40
orange,plain,40
yellow,plain,40
orange,plain,40
red,plain,40
green,plain,40
blue,plain,40
orange,plain,40
blue,plain,40
red,plain,40
blue,plain,40
orange,plain,40
red,plain,40
green,plain,40
blue,plain,40
orange,plain,40
green,plain,40
brown,plain,40
orange,plain,40
green,plain,40
red,plain,40
brown,plain,40
brown,plain,40
red,plain,40
blue,plain,40
red,plain,40
green,plain,40
blue,plain,40
green,plain,40
orange,plain,40
red,plain,40
orange,plain,40
green,plain,40
green,plain,40
red,plain,40
blue,plain,40
brown,plain,40
yellow,plain,40
green,plain,40
blue,plain,40
red,plain,41
red,plain,41
blue,plain,41
yellow,plain,41
blue,plain,41
red,plain,41
orange,plain,41
blue,plain,41
orange,plain,41
green,plain,41
brown,plain,41
brown,plain,41
brown,plain,41
red,plain,41
green,plain,41
blue,plain,41
green,plain,41
red,plain,41
yellow,plain,41
blue,plain,41
orange,plain,41
green,plain,41
orange,plain,41
red,plain,41
red,plain,41
green,plain,41
blue,plain,41
green,plain,41
orange,plain,41
green,plain,41
brown,plain,41
green,plain,41
orange,plain,41
yellow,plain,41
brown,plain,41
yellow,plain,41
blue,plain,41
yellow,plain,41
red,plain,41
yellow,plain,41
green,plain,41
red,plain,41
yellow,plain,41
brown,plain,41
red,plain,41
blue,plain,41
orange,plain,41
red,plain,41
orange,plain,41
orange,plain,41
orange,plain,41
yellow,plain,41
yellow,plain,41
orange,plain,41
brown,plain,41
brown,plain,42
green,plain,42
green,plain,42
yellow,plain,42
red,plain,42
orange,plain,42
orange,plain,42
orange,plain,42
orange,plain,42
brown,plain,42
orange,plain,42
red,plain,42
orange,plain,42
brown,plain,42
green,plain,42
orange,plain,42
green,plain,42
blue,plain,42
brown,plain,42
blue,plain,42
blue,plain,42
orange,plain,42
brown,plain,42
blue,plain,42
green,plain,42
orange,plain,42
brown,plain,42
blue,plain,42
green,plain,42
green,plain,42
orange,plain,42
orange,plain,42
blue,plain,42
brown,plain,42
blue,plain,42
red,plain,42
yellow,plain,42
red,plain,42
green,plain,42
orange,plain,42
blue,plain,42
orange,plain,42
orange,plain,42
blue,plain,42
yellow,plain,42
green,plain,42
orange,plain,42
orange,plain,42
yellow,plain,42
blue,plain,42
orange,plain,42
green,plain,42
blue,plain,42
brown,plain,42
orange,plain,43
orange,plain,43
blue,plain,43
brown,plain,43
orange,plain,43
green,plain,43
yellow,plain,43
green,plain,43
orange,plain,43
green,plain,43
blue,plain,43
green,plain,43
brown,plain,43
green,plain,43
orange,plain,43
orange,plain,43
green,plain,43
orange,plain,43
green,plain,43
yellow,plain,43
red,plain,43
yellow,plain,43
red,plain,43
blue,plain,43
blue,plain,43
yellow,plain,43
green,plain,43
brown,plain,43
red,plain,43
brown,plain,43
orange,plain,43
orange,plain,43
green,plain,43
green,plain,43
red,plain,43
blue,plain,43
red,plain,43
green,plain,43
blue,plain,43
yellow,plain,43
brown,plain,43
red,plain,43
orange,plain,43
yellow,plain,43
red,plain,43
orange,plain,43
blue,plain,43
green,plain,43
brown,plain,43
brown,plain,43
orange,plain,43
green,plain,43
blue,plain,43
orange,plain,43
orange,plain,44
red,plain,44
blue,plain,44
green,plain,44
yellow,plain,44
red,plain,44
orange,plain,44
green,plain,44
blue,plain,44
brown,plain,44
green,plain,44
green,plain,44
yellow,plain,44
yellow,plain,44
yellow,plain,44
orange,plain,44
blue,plain,44
orange,plain,44
brown,plain,44
brown,plain,44
orange,plain,44
yellow,plain,44
brown,plain,44
brown,plain,44
blue,plain,44
orange,plain,44
blue,plain,44
blue,plain,44
red,plain,44
orange,plain,44
orange,plain,44
brown,plain,44
yellow,plain,44
blue,plain,44
orange,plain,44
red,plain,44
green,plain,44
orange,plain,44
orange,plain,44
brown,plain,44
green,plain,44
brown,plain,44
orange,plain,44
red,plain,44
green,plain,44
red,plain,44
brown,plain,44
blue,plain,44
red,plain,44
orange,plain,44
red,plain,44
green,plain,44
green,plain,44
yellow,plain,45
brown,plain,45
orange,plain,45
red,plain,45
blue,plain,45
green,plain,45
red,plain,45
brown,plain,45
blue,plain,45
green,plain,45
brown,plain,45
yellow,plain,45
blue,plain,45
red,plain,45
brown,plain,45
orange,plain,45
red,plain,45
red,plain,45
green,plain,45
blue,plain,45
green,plain,45
orange,plain,45
blue,plain,45
brown,plain,45
yellow,plain,45
yellow,plain,45
blue,plain,45
green,plain,45
orange,plain,45
brown,plain,45
brown,plain,45
orange,plain,45
orange,plain,45
orange,plain,45
blue,plain,45
green,plain,45
yellow,plain,45
orange,plain,45
red,plain,45
brown,plain,45
blue,plain,45
orange,plain,45
blue,plain,45
brown,plain,45
yellow,plain,45
green,plain,45
green,plain,45
red,plain,45
blue,plain,45
green,plain,45
green,plain,45
blue,plain,45
red,plain,45
orange,plain,45
yellow,plain,46
green,plain,46
blue,plain,46
orange,plain,46
brown,plain,46
brown,plain,46
green,plain,46
orange,plain,46
green,plain,46
yellow,plain,46
yellow,plain,46
green,plain,46
red,plain,46
brown,plain,46
blue,plain,46
red,plain,46
red,plain,46
orange,plain,46
blue,plain,46
brown,plain,46
brown,plain,46
blue,plain,46
orange,plain,46
green,plain,46
orange,plain,46
orange,plain,46
blue,plain,46
green,plain,46
yellow,plain,46
red,plain,46
red,plain,46
yellow,plain,46
orange,plain,46
green,plain,46
yellow,plain,46
green,plain,46
yellow,plain,46
orange,plain,46
orange,plain,46
yellow,plain,46
red,plain,46
brown,plain,46
yellow,plain,46
green,plain,46
blue,plain,46
red,plain,46
orange,plain,46
red,plain,46
blue,plain,46
green,plain,46
blue,plain,46
blue,plain,46
yellow,plain,46
red,plain,46
yellow,plain,47
red,plain,47
brown,plain,47
orange,plain,47
red,plain,47
orange,plain,47
brown,plain,47
yellow,plain,47
brown,plain,47
orange,plain,47
blue,plain,47
green,plain,47
blue,plain,47
orange,plain,47
blue,plain,47
green,plain,47
yellow,plain,47
blue,plain,47
blue,plain,47
orange,plain,47
blue,plain,47
blue,plain,47
blue,plain,47
yellow,plain,47
orange,plain,47
red,plain,47
red,plain,47
orange,plain,47
orange,plain,47
green,plain,47
green,plain,47
green,plain,47
blue,plain,47
green,plain,47
brown,plain,47
green,plain,47
orange,plain,47
blue,plain,47
blue,plain,47
green,plain,47
green,plain,47
blue,plain,47
green,plain,47
orange,plain,47
brown,plain,47
brown,plain,47
orange,plain,47
yellow,plain,47
blue,plain,47
orange,plain,47
brown,plain,47
brown,plain,47
yellow,plain,47
orange,plain,47
green,plain,47
green,plain,48
green,plain,48
red,plain,48
blue,plain,48
green,plain,48
orange,plain,48
blue,plain,48
blue,plain,48
yellow,plain,48
green,plain,48
brown,plain,48
orange,plain,48
orange,plain,48
yellow,plain,48
red,plain,48
blue,plain,48
blue,plain,48
yellow,plain,48
brown,plain,48
brown,plain,48
blue,plain,48
green,plain,48
green,plain,48
orange,plain,48
green,plain,48
blue,plain,48
red,plain,48
brown,plain,48
orange,plain,48
blue,plain,48
blue,plain,48
yellow,plain,48
blue,plain,48
green,plain,48
brown,plain,48
orange,plain,48
orange,plain,48
brown,plain,48
yellow,plain,48
orange,plain,48
brown,plain,48
green,plain,48
blue,plain,48
red,plain,48
red,plain,48
green,plain,48
red,plain,48
yellow,plain,48
red,plain,48
blue,plain,48
blue,plain,48
blue,plain,48
brown,plain,48
orange,plain,48
red,plain,48
