 Address,City,type,Bd,Bth,SqFt,Lot Acres,Year,TT,Date,$/SqFt,DOM,Orig Price,List Price
9775 Girard RD,Flagstaff,house,4,3,"2,896",2.48,2021,Sale,11/19/20,$310.43 ,72,"$879,000 ","$899,000 "
6800 N Rain Valley RD,Flagstaff,house,5,5,"3,700",5,2020,Sale,1/22/21,$243.24 ,8,"$899,999 ","$899,999 "
3009 S Tourmaline DR 24,Flagstaff,condo,3,3.5,"1,989",0.05,2022,Sale,10/13/20,$459.53 ,109,"$914,000 ","$914,000 "
3017 S Tourmaline DR 11,Flagstaff,condo,3,3.5,"1,989",0.05,2020,Sale,5/16/20,$459.93 ,259,"$894,800 ","$914,800 "
4420 W Braided Rein,Flagstaff,house,3,2.5,"2,829",0.28,2011,Sale,12/11/20,$333.69 ,50,"$944,000 ","$944,000 "
3009 S Tourmaline DR 22,Flagstaff,condo,3,3.5,"1,860",0.05,2022,Sale,10/13/20,$520.43 ,96,"$968,000 ","$968,000 "
4415 W Braided Rein,Flagstaff,house,3,2,"2,203",0.37,2013,Sale,1/16/21,$442.58 ,14,"$975,000 ","$975,000 "
4530 E Coldstream LN,Flagstaff,house,4,3.5,"3,906",0.35,1979,Sale,7/23/20,$250.64 ,191,"$979,000 ","$979,000 "
3405 W Picket Line,Flagstaff,house,5,4.5,"4,180",0.41,2013,Sale,10/24/20,$234.21 ,98,"$979,000 ","$979,000 "
991 E Hilltop AVE,Flagstaff,house,3,2.5,"2,534",0.49,1987,Sale,1/30/21,$392.66 ,0,"$995,000 ","$995,000 "
4015 Pack Saddle,Flagstaff,house,3,3,"2,000",0.34,2003,Sale,10/22/20,$500 ,100,"$1,000,000 ","$1,000,000 "
3810 W Running Martingale,Flagstaff,house,3,3,"2,450",0.59,2017,Sale,1/26/21,$446.94 ,2,"$1,095,000 ","$1,095,000 "
314 N Beaver ST,Flagstaff,house,6,3,"2,942",0.2,1930,Sale,1/27/21,$390.89 ,2,"$1,150,000 ","$1,150,000 "
4085 S Lariat LOOP,Flagstaff,house,4,3.5,"3,210",0,2020,Sale,2/25/20,$373.83 ,340,"$980,000 ","$1,200,000 "
6250 W Saskan Ranch CIR,Flagstaff,house,4,3.5,"4,400",4.71,2020,Sale,12/4/20,$294.32 ,56,"$1,295,000 ","$1,295,000 "
3095 W Kiltie LN,Flagstaff,house,5,4,"4,396",1.38,1995,Sale,1/1/21,$307.09 ,123,"$135,000 ","$1,350,000 "
3832 S Timoteo LN,Flagstaff,townhouse,4,4.5,"3,333",0.2,2008,Sale,1/21/21,$405.04 ,9,"$1,350,000 ","$1,350,000 "
6701 N N Rain Valley Rd RD,Flagstaff,house,4,2.5,"3,045",20.01,1982,Sale,1/21/20,$492.61 ,375,"$1,500,000 ","$1,500,000 "
4848 Lake Mary RD,Flagstaff,house,4,5,"3,880",4.62,1974,Sale,11/18/20,$451.03 ,68,"$1,750,000 ","$1,750,000 "
4535 S Flagstaff Ranch RD,Flagstaff,house,3,3.5,"3,600",0.91,2009,Sale,10/14/20,$551.38 ,106,"$2,000,000 ","$1,985,000 "
4690 Lake Mary RD,Flagstaff,house,5,4.5,"6,049",12.4,1992,Sale,1/17/21,$330.63 ,13,"$2,000,000 ","$2,000,000 "
2982 Andrew Douglass,Flagstaff,house,5,5.5,"5,398",0.98,2002,Sale,1/1/21,$435.35 ,28,"$2,350,000 ","$2,350,000 "
2302 Link Smith,Flagstaff,house,6,6.5,"6,763",0.29,1998,Sale,11/14/20,$369.66 ,75,"$2,500,000 ","$2,500,000 "
2555 Lindberg Spring,Flagstaff,house,4,4.5,"4,360",0.46,1998,Sale,11/14/20,$745.41 ,77,"$3,250,000 ","$3,250,000 "
