country	lifexp-2011	fertilrate-2011	lifexp-2000	fertilrate-2000	lifexp-1990	fertilrate-1990
North America	78.88336039	1.867492059	76.89242792	1.999504963	75.43126468	2.055320976
Namibia	63.27717073	3.167	55.12070732	4.033	61.22495122	5.227
New Caledonia	76.03995122	2.172	74.9195122	2.63	70.48536585	3.19
Niger	57.48263415	7.581	50.70590244	7.725	43.95119512	7.763
Nigeria	51.7102439	6.017	46.624	6.099	46.11026829	6.49
Nicaragua	74.13470732	2.585	69.64658537	3.251	64.135	4.754
Netherlands	81.20487805	1.76	77.98780488	1.72	76.87804878	1.62
High income: nonOECD	72.49644125	1.733124703	68.81445828	1.569173888	70.03307866	2.226719039
Norway	81.29512195	1.88	78.63414634	1.85	76.53731707	1.93
Nepal	67.54956098	2.496	62.04270732	4.068	55.03643902	5.165
New Zealand	80.90487805	2.1	78.63658537	2	75.37804878	2.18
High income: OECD	80.39266574	1.671861502	77.86617489	1.664455629	75.71850085	1.772000377
OECD members	79.67386594	1.759008917	77.05447398	1.804949487	74.68043616	1.964614846
Oman	76.32314634	2.899	72.35658537	3.72	67.26773171	7.164
Other small states	59.17986513	3.603941627	56.33131138	4.235755597	58.9977579	5.012149157
Pakistan	66.28387805	3.347	63.88597561	4.474	61.18731707	6.024
Panama	77.15680488	2.521	75.11663415	2.821	73.05958537	3.075
Peru	74.21053659	2.479	70.50543902	2.929	65.53043902	3.828
Philippines	68.3914878	3.111	66.79665854	3.813	65.22356098	4.32
Palau			70.49365854	1.535	69.06926829	2.7572
Papua New Guinea	62.16212195	3.896	58.79929268	4.507	55.70934146	4.802
Poland	76.74634146	1.3	73.74878049	1.35	70.8902439	2.04
Puerto Rico	78.35885366	1.653	76.68926829	2.0485	74.16917073	2.219
"Korea, Dem. Rep."	69.18880488	2	64.98256098	1.991	69.34431707	2.289
Portugal	80.72195122	1.35	76.31463415	1.55	73.96585366	1.43
Paraguay	72.11346341	2.931	70.07670732	3.677	68.01260976	4.541
Pacific island small states	69.47661826	3.348857827	66.73601286	3.841883618	63.69356484	4.357434789
French Polynesia	75.91602439	2.092	72.45	2.463	68.82860976	3.4
Qatar	78.29968293	2.055	76.82014634	3.241	75.2994878	4.016
Romania	74.51219512	1.25	71.16341463	1.31	69.74121951	1.84
Russian Federation	69.00487805	1.54	65.34146341	1.21	68.90243902	1.89
Rwanda	62.92241463	4.728	47.64265854	5.897	32.61156098	7.271
South Asia	66.388859	2.629492308	62.65774191	3.329581566	58.93532101	4.168169009
Saudi Arabia	75.288	2.763	72.6147561	3.99	69.14897561	5.844
Sudan	61.67941463	4.563	57.978	5.444	55.51446341	6.153
Senegal	63.04258537	5.019	57.77426829	5.561	57.18309756	6.629
Singapore	81.89268293	1.2	78.05121951		76.0285122	1.865
Solomon Islands	67.29221951	4.168	62.83673171	4.72	56.7047561	5.851
Sierra Leone	45.10258537	4.861	38.11160976	5.92	37.35736585	6.525
El Salvador	71.86870732	2.236	69.55878049	2.934	65.87890244	3.951
San Marino	83.32321508		80.6195122			
Somalia	54.35795122	6.769	50.87826829	7.61	45.38934146	7.397
Serbia	74.58536585	1.36	72.13658537	1.48		
Sub-Saharan Africa (developing only)	55.9264258	5.176421961	50.2199646	5.773413173	49.94856428	6.357267815
South Sudan	54.04556098	5.101	49.2344878	6.133	43.52326829	6.769
Sub-Saharan Africa (all income levels)	55.9233254	5.176313679	50.21804824	5.773412853	49.94606311	6.356908878
Small states	62.92340971	3.237122044	60.52634352	3.699158459	62.15267392	4.280709728
Sao Tome and Principe	66.00326829	4.217	63.29253659	4.687	61.77143902	5.395
Suriname	70.58112195	2.318	67.92917073	2.739	67.50187805	2.733
Slovak Republic	75.95853659	1.45	73.05121951	1.3	70.93268293	2.09
Slovenia	79.97073171	1.56	75.41219512	1.26	73.20487805	1.46
Sweden	81.80243902	1.9	79.64390244	1.54	77.53682927	2.13
Swaziland	48.66139024	3.483	48.66407317	4.209	59.34519512	5.744
Sint Maarten (Dutch part)						
Seychelles	73.45609756	2.1		2.08		
Syrian Arab Republic	74.77058537	3.04	73.33029268	3.958	70.25941463	5.313
Turks and Caicos Islands						
Chad	50.23619512	6.486	46.68717073	7.354	46.34858537	7.313
Togo	55.80765854	4.746	53.54534146	5.288	55.84843902	6.331
Thailand	74.00890244	1.427	70.91658537	1.676	70.41112195	2.113
Tajikistan	67.13521951	3.807	63.77173171	3.954	62.86478049	5.175
Turkmenistan	65.16360976	2.381	63.89929268	2.837	62.67414634	4.345
Timor-Leste	66.49180488	5.453	59.48141463	7.112	48.47973171	5.34
Tonga	72.3352439	3.864	70.76043902	4.25	69.58231707	4.644
Trinidad and Tobago	69.70856098	1.801	68.59795122	1.753	68.02290244	2.453
Tunisia	74.75365854	2.13	72.6	2.08	70.30731707	3.538
Turkey	74.5404878	2.08	69.99836585	2.454	64.28234146	3.078
Tuvalu						
Tanzania	60.07465854	5.359	49.9715122	5.689	50.46336585	6.213
Uganda	58.01753659	6.06	48.10936585	6.865	47.50065854	7.091
Ukraine	70.80926829	1.459	67.86341463	1.1	70.13658537	1.848
Upper middle income	73.96346362	1.8841341	71.24058484	1.916393495	68.66737057	2.791912235
Uruguay	76.76426829	2.068	74.66009756	2.243	72.53953659	2.518
United States	78.64146341	1.8945	76.63658537	2.056	75.21463415	2.081
Uzbekistan	67.98039024	2.499	66.94078049	2.58	66.68417073	4.072
St. Vincent and the Grenadines	72.29943902	2.046	70.58312195	2.379	70.07665854	2.956
"Venezuela, RB"	74.33097561	2.444	72.44414634	2.822	71.10773171	3.448
Virgin Islands (U.S.)	79.30558537	1.8	77.57565854	2.0553	74.788	2.954
Vietnam	75.45790244	1.794	73.63112195	1.983	70.51009756	3.558
Vanuatu	71.12804878	3.456	67.555	4.368	63.19685366	4.927
West Bank and Gaza	72.82943902	4.144	70.90746341	5.404	68.04773171	6.532
World	70.53933561	2.475424726	67.69058418	2.644931765	65.69645159	3.270112878
Samoa	72.69578049	4.277	69.48731707	4.503	65.04041463	5.118
"Yemen, Rep."	62.7184878	4.348	60.45785366	6.363	57.76419512	8.667
South Africa	55.29565854	2.438	55.83687805	2.866	62.12007317	3.658
"Congo, Dem. Rep."	49.30070732	6.146	46.35573171	7.089	47.43878049	7.133
Zambia	55.83314634	5.773	41.78312195	6.071	43.82014634	6.468
Zimbabwe	55.94621951	3.643	43.922	4.069	59.1337561	5.176
