INSTITUTION,TYPE,STATE,ROOM_BOARD,INSTATE_TUITION,INSTATE_TOTAL,OUTOFSTATE_TUITION,OUTOFSTATE_TOTAL
California Maritime AcademyPublic 4-year,Public_4 year,CA,12576,7135,19711,13273,25849
California Polytechnic State University: San Luis ObispoPublic 4-year,Public_4 year,CA,13796,9816,23612,21696,35492
California State Polytechnic University: PomonaPublic 4-year,Public_4 year,CA,17358,7353,24711,19233,36591
California State University: BakersfieldPublic 4-year,Public_4 year,CA,13746,7147,20893,19027,32773
California State University: Channel IslandsPublic 4-year,Public_4 year,CA,16954,6817,23771,18697,35651
California State University: ChicoPublic 4-year,Public_4 year,CA,12980,7618,20598,17122,30102
California State University: Dominguez HillsPublic 4-year,Public_4 year,CA,12540,6837,19377,18717,31257
California State University: East BayPublic 4-year,Public_4 year,CA,13980,6834,20814,18714,32694
California State University: FresnoPublic 4-year,Public_4 year,CA,10587,6585,17172,18465,29052
California State University: FullertonPublic 4-year,Public_4 year,CA,15898,6870,22768,18750,34648
California State University: Long BeachPublic 4-year,Public_4 year,CA,13312,6798,20110,18678,31990
California State University: Los AngelesPublic 4-year,Public_4 year,CA,13407,6639,20046,18519,31926
California State University: Monterey BayPublic 4-year,Public_4 year,CA,12234,7143,19377,19023,31257
California State University: NorthridgePublic 4-year,Public_4 year,CA,11122,6888,18010,17622,28744
California State University: SacramentoPublic 4-year,Public_4 year,CA,14396,7204,21600,19084,33480
California State University: San BernardinoPublic 4-year,Public_4 year,CA,12711,6656,19367,13064,25775
California State University: San MarcosPublic 4-year,Public_4 year,CA,13227,7648,20875,19166,32393
California State University: StanislausPublic 4-year,Public_4 year,CA,10542,7076,17618,20290,30832
Humboldt State UniversityPublic 4-year,Public_4 year,CA,12870,7676,20546,19556,32426
San Diego State UniversityPublic 4-year,Public_4 year,CA,16735,7488,24223,19368,36103
San Francisco State UniversityPublic 4-year,Public_4 year,CA,15151,7260,22411,19140,34291
San Jose State UniversityPublic 4-year,Public_4 year,CA,16442,7796,24238,17300,33742
Sonoma State UniversityPublic 4-year,Public_4 year,CA,13960,7798,21758,19678,33638
University of California: BerkeleyPublic 4-year,Public_4 year,CA,16160,14184,30344,43176,59336
University of California: DavisPublic 4-year,Public_4 year,CA,16211,14463,30674,43458,59669
University of California: IrvinePublic 4-year,Public_4 year,CA,15263,15614,30877,44606,59869
University of California: Los AngelesPublic 4-year,Public_4 year,CA,15816,13774,29590,42766,58582
University of California: MercedPublic 4-year,Public_4 year,CA,16454,13627,30081,41641,58095
University of California: RiversidePublic 4-year,Public_4 year,CA,17475,15633,33108,44625,62100
University of California: San DiegoPublic 4-year,Public_4 year,CA,12362,14199,26561,43191,55553
University of California: Santa BarbaraPublic 4-year,Public_4 year,CA,15273,14424,29697,43416,58689
University of California: Santa CruzPublic 4-year,Public_4 year,CA,16407,14009,30416,42023,58430
Academy of Art UniversityFor-profit 4-year,For_profit_4_year,CA,16648,27810,44458,27810,44458
Ashford UniversityFor-profit 4-year,For_profit_4_year,CA,NA,12160,12160,12160,12160
California Coast UniversityFor-profit 4-year,For_profit_4_year,CA,NA,4500,4500,4500,4500
Cogswell Polytechnical CollegeFor-profit 4-year,For_profit_4_year,CA,11000,20056,31056,20056,31056
Design Institute of San DiegoFor-profit 4-year,For_profit_4_year,CA,NA,23860,23860,23860,23860
Mt. Sierra CollegeFor-profit 4-year,For_profit_4_year,CA,NA,15688,15688,15688,15688
New Charter UniversityFor-profit 4-year,For_profit_4_year,CA,NA,2691,2691,2691,2691
Northcentral UniversityFor-profit 4-year,For_profit_4_year,CA,NA,11064,11064,11064,11064
Southern California Institute of TechnologyFor-profit 4-year,For_profit_4_year,CA,NA,17000,17000,17000,17000
Trident University InternationalFor-profit 4-year,For_profit_4_year,CA,NA,11550,11550,11550,11550
Alliant International UniversityPrivate 4-year,Private_4_year,CA,NA,18000,18000,18000,18000
American Jewish UniversityPrivate 4-year,Private_4_year,CA,17362,31826,49188,31826,49188
Antioch University Los AngelesPrivate 4-year,Private_4_year,CA,NA,20670,20670,20670,20670
Antioch University Santa BarbaraPrivate 4-year,Private_4_year,CA,NA,22575,22575,22575,22575
Art Center College of DesignPrivate 4-year,Private_4_year,CA,NA,43416,43416,43416,43416
Azusa Pacific UniversityPrivate 4-year,Private_4_year,CA,10076,38880,48956,38880,48956
Bergin University of Canine StudiesPrivate 4-year,Private_4_year,CA,NA,9450,9450,9450,9450
Bethesda University of CaliforniaPrivate 4-year,Private_4_year,CA,NA,8350,8350,8350,8350
Beverly Hills Design InstitutePrivate 4-year,Private_4_year,CA,NA,31060,31060,31060,31060
Biola UniversityPrivate 4-year,Private_4_year,CA,10730,40488,51218,40488,51218
Brandman UniversityPrivate 4-year,Private_4_year,CA,NA,15380,15380,15380,15380
California Baptist UniversityPrivate 4-year,Private_4_year,CA,12160,33478,45638,33478,45638
California Christian CollegePrivate 4-year,Private_4_year,CA,4950,9570,14520,9570,14520
California College of the ArtsPrivate 4-year,Private_4_year,CA,10136,49138,59274,49138,59274
California Institute of Integral StudiesPrivate 4-year,Private_4_year,CA,NA,20230,20230,20230,20230
California Institute of TechnologyPrivate 4-year,Private_4_year,CA,15525,52362,67887,52362,67887
California Institute of the ArtsPrivate 4-year,Private_4_year,CA,12069,49276,61345,49276,61345
California Lutheran UniversityPrivate 4-year,Private_4_year,CA,13779,42693,56472,42693,56472
California Miramar UniversityPrivate 4-year,Private_4_year,CA,NA,12180,12180,12180,12180
California Northstate University College of Health SciencesPrivate 4-year,Private_4_year,CA,NA,32500,32500,32500,32500
California University of Management and SciencesPrivate 4-year,Private_4_year,CA,NA,10410,10410,10410,10410
Chapman UniversityPrivate 4-year,Private_4_year,CA,15828,52724,68552,52724,68552
Charles R Drew University of Medicine and SciencePrivate 4-year,Private_4_year,CA,NA,17440,17440,17440,17440
Claremont McKenna CollegePrivate 4-year,Private_4_year,CA,16705,54405,71110,54405,71110
Coleman UniversityPrivate 4-year,Private_4_year,CA,NA,20725,20725,20725,20725
Columbia College HollywoodPrivate 4-year,Private_4_year,CA,NA,25140,25140,25140,25140
Concordia University IrvinePrivate 4-year,Private_4_year,CA,11300,35400,46700,35400,46700
Dominican University of CaliforniaPrivate 4-year,Private_4_year,CA,14810,45850,60660,45850,60660
Fresno Pacific UniversityPrivate 4-year,Private_4_year,CA,8676,31452,40128,31452,40128
Golden Gate UniversityPrivate 4-year,Private_4_year,CA,NA,15840,15840,15840,15840
Harvey Mudd CollegePrivate 4-year,Private_4_year,CA,18127,56876,75003,56876,75003
Holy Names UniversityPrivate 4-year,Private_4_year,CA,13190,39316,52506,39316,52506
Hope International UniversityPrivate 4-year,Private_4_year,CA,10490,33400,43890,33400,43890
Horizon UniversityPrivate 4-year,Private_4_year,CA,NA,7700,7700,7700,7700
Hult International Business SchoolPrivate 4-year,Private_4_year,CA,15000,40650,55650,40650,55650
Humphreys CollegePrivate 4-year,Private_4_year,CA,NA,14292,14292,14292,14292
John F. Kennedy UniversityPrivate 4-year,Private_4_year,CA,NA,18261,18261,18261,18261
John Paul the Great Catholic UniversityPrivate 4-year,Private_4_year,CA,7650,26100,33750,26100,33750
La Sierra UniversityPrivate 4-year,Private_4_year,CA,8415,32778,41193,32778,41193
Laguna College of Art and DesignPrivate 4-year,Private_4_year,CA,10000,30700,40700,30700,40700
Life Pacific CollegePrivate 4-year,Private_4_year,CA,8390,15804,24194,15804,24194
Lincoln UniversityPrivate 4-year,Private_4_year,CA,NA,11040,11040,11040,11040
Loma Linda UniversityPrivate 4-year,Private_4_year,CA,11655,35192,46847,35192,46847
Loyola Marymount UniversityPrivate 4-year,Private_4_year,CA,14490,48522,63012,48522,63012
Marymount California UniversityPrivate 4-year,Private_4_year,CA,14666,36134,50800,36134,50800
Menlo CollegePrivate 4-year,Private_4_year,CA,14225,42800,57025,42800,57025
Mills CollegePrivate 4-year,Private_4_year,CA,13448,30257,43705,30257,43705
Mount Saint Mary's UniversityPrivate 4-year,Private_4_year,CA,12235,41170,53405,41170,53405
National UniversityPrivate 4-year,Private_4_year,CA,NA,16710,16710,16710,16710
Northwestern Polytechnic UniversityPrivate 4-year,Private_4_year,CA,6000,10700,16700,10700,16700
Notre Dame de Namur UniversityPrivate 4-year,Private_4_year,CA,14494,35350,49844,35350,49844
Occidental CollegePrivate 4-year,Private_4_year,CA,15496,54686,70182,54686,70182
Otis College of Art and DesignPrivate 4-year,Private_4_year,CA,15100,44580,59680,44580,59680
Pacific Oaks CollegePrivate 4-year,Private_4_year,CA,NA,34830,34830,34830,34830
Pacific States UniversityPrivate 4-year,Private_4_year,CA,NA,16005,16005,16005,16005
Pacific Union CollegePrivate 4-year,Private_4_year,CA,8310,30060,38370,30060,38370
Pepperdine UniversityPrivate 4-year,Private_4_year,CA,15320,53932,69252,53932,69252
Pitzer CollegePrivate 4-year,Private_4_year,CA,16844,54056,70900,54056,70900
Point Loma Nazarene UniversityPrivate 4-year,Private_4_year,CA,10450,35700,46150,35700,46150
Pomona CollegePrivate 4-year,Private_4_year,CA,16716,52780,69496,52780,69496
Providence Christian CollegePrivate 4-year,Private_4_year,CA,9694,29372,39066,29372,39066
Saint Mary's College of CaliforniaPrivate 4-year,Private_4_year,CA,15370,47280,62650,47280,62650
San Diego Christian CollegePrivate 4-year,Private_4_year,CA,11640,31404,43044,31404,43044
San Francisco Art InstitutePrivate 4-year,Private_4_year,CA,15709,46534,62243,46534,62243
San Francisco Conservatory of MusicPrivate 4-year,Private_4_year,CA,14510,46110,60620,46110,60620
Santa Clara UniversityPrivate 4-year,Private_4_year,CA,14910,51711,66621,51711,66621
Scripps CollegePrivate 4-year,Private_4_year,CA,16932,55024,71956,55024,71956
Shasta Bible College and Graduate SchoolPrivate 4-year,Private_4_year,CA,2800,11350,14150,11350,14150
Silicon Valley UniversityPrivate 4-year,Private_4_year,CA,NA,10725,10725,10725,10725
Simpson UniversityPrivate 4-year,Private_4_year,CA,8140,27700,35840,27700,35840
Soka University of AmericaPrivate 4-year,Private_4_year,CA,12530,31310,43840,31310,43840
Southern California Institute of ArchitecturePrivate 4-year,Private_4_year,CA,NA,44960,44960,44960,44960
Southern California SeminaryPrivate 4-year,Private_4_year,CA,5580,13300,18880,13300,18880
Stanford UniversityPrivate 4-year,Private_4_year,CA,15763,51354,67117,51354,67117
SUM Bible College & Theological SeminaryPrivate 4-year,Private_4_year,CA,3375,9865,13240,9865,13240
The Master's University and SeminaryPrivate 4-year,Private_4_year,CA,11200,25390,36590,25390,36590
Thomas Aquinas CollegePrivate 4-year,Private_4_year,CA,8400,25000,33400,25000,33400
Touro University WorldwidePrivate 4-year,Private_4_year,CA,NA,14400,14400,14400,14400
University of Antelope ValleyPrivate 4-year,Private_4_year,CA,6640,17738,24378,17738,24378
University of La VernePrivate 4-year,Private_4_year,CA,12850,43050,55900,43050,55900
University of RedlandsPrivate 4-year,Private_4_year,CA,14278,49504,63782,49504,63782
University of San DiegoPrivate 4-year,Private_4_year,CA,12980,49358,62338,49358,62338
University of San FranciscoPrivate 4-year,Private_4_year,CA,14830,48066,62896,48066,62896
University of Southern CaliforniaPrivate 4-year,Private_4_year,CA,15395,56225,71620,56225,71620
University of the PacificPrivate 4-year,Private_4_year,CA,13650,48040,61690,48040,61690
University of the WestPrivate 4-year,Private_4_year,CA,7764,15440,23204,15440,23204
Vanguard University of Southern CaliforniaPrivate 4-year,Private_4_year,CA,10520,33700,44220,33700,44220
Woodbury UniversityPrivate 4-year,Private_4_year,CA,11920,39855,51775,39855,51775
World Mission UniversityPrivate 4-year,Private_4_year,CA,NA,7200,7200,7200,7200
