INSTITUTION,TYPE,STATE,ROOM_BOARD,INSTATE_TUITION,INSTATE_TOTAL,OUTOFSTATE_TUITION,OUTOFSTATE_TOTAL
University of MiamiPrivate 4-year,Private_4_year,FL,14108,50226,64334,50226,64334
University of TampaPrivate 4-year,Private_4_year,FL,10810,29208,40018,29208,40018
Warner UniversityPrivate 4-year,Private_4_year,FL,8520,21840,30360,21840,30360
Webber International UniversityPrivate 4-year,Private_4_year,FL,9150,26116,35266,26116,35266
Yeshiva Gedolah Rabbinical CollegePrivate 4-year,Private_4_year,FL,8500,8300,16800,8300,16800
Albany State UniversityPublic 4-year,Public_4 year,GA,8878,6726,15604,19802,28680
Armstrong State UniversityPublic 4-year,Public_4 year,GA,11385,6384,17769,19866,31251
Augusta UniversityPublic 4-year,Public_4 year,GA,9640,10758,20398,29796,39436
Clayton State UniversityPublic 4-year,Public_4 year,GA,9994,6410,16404,19486,29480
College of Coastal GeorgiaPublic 4-year,Public_4 year,GA,9520,3971,13491,10578,20098
Columbus State UniversityPublic 4-year,Public_4 year,GA,9880,7200,17080,20682,30562
Dalton State CollegePublic 4-year,Public_4 year,GA,8950,4246,13196,12668,21618
Fort Valley State UniversityPublic 4-year,Public_4 year,GA,8372,6664,15036,19740,28112
Georgia College and State UniversityPublic 4-year,Public_4 year,GA,11016,9346,20362,28060,39076
Georgia Gwinnett CollegePublic 4-year,Public_4 year,GA,12870,6124,18994,18552,31422
Georgia Institute of TechnologyPublic 4-year,Public_4 year,GA,11884,12424,24308,33020,44904
Georgia Southern UniversityPublic 4-year,Public_4 year,GA,10070,7422,17492,20904,30974
Georgia Southwestern State UniversityPublic 4-year,Public_4 year,GA,8120,6336,14456,19412,27532
Georgia State UniversityPublic 4-year,Public_4 year,GA,11378,10858,22236,29432,40810
Kennesaw State UniversityPublic 4-year,Public_4 year,GA,11467,7432,18899,21158,32625
Middle Georgia State UniversityPublic 4-year,Public_4 year,GA,9080,4608,13688,13568,22648
Savannah State UniversityPublic 4-year,Public_4 year,GA,7762,6794,14556,19870,27632
South Georgia State CollegePublic 4-year,Public_4 year,GA,8540,3810,12350,11556,20096
University of GeorgiaPublic 4-year,Public_4 year,GA,10038,11830,21868,30404,40442
University of North GeorgiaPublic 4-year,Public_4 year,GA,7876,7336,15212,21148,29024
University of West GeorgiaPublic 4-year,Public_4 year,GA,10918,7292,18210,20774,31692
Valdosta State UniversityPublic 4-year,Public_4 year,GA,8110,7476,15586,20958,29068
Agnes Scott CollegePrivate 4-year,Private_4_year,GA,12330,41160,53490,41160,53490
Berry CollegePrivate 4-year,Private_4_year,GA,12770,36556,49326,36556,49326
Beulah Heights UniversityPrivate 4-year,Private_4_year,GA,6000,9880,15880,9880,15880
Brenau UniversityPrivate 4-year,Private_4_year,GA,12418,29050,41468,29050,41468
Brewton-Parker CollegePrivate 4-year,Private_4_year,GA,7850,18690,26540,18690,26540
Carver CollegePrivate 4-year,Private_4_year,GA,6600,13475,20075,13475,20075
Clark Atlanta UniversityPrivate 4-year,Private_4_year,GA,9524,23436,32960,23436,32960
Covenant CollegePrivate 4-year,Private_4_year,GA,10260,34330,44590,34330,44590
Emmanuel CollegePrivate 4-year,Private_4_year,GA,8136,20292,28428,20292,28428
Emory UniversityPrivate 4-year,Private_4_year,GA,14456,51306,65762,51306,65762
LaGrange CollegePrivate 4-year,Private_4_year,GA,11630,30470,42100,30470,42100
Life UniversityPrivate 4-year,Private_4_year,GA,14400,13194,27594,13194,27594
Luther Rice College and SeminaryPrivate 4-year,Private_4_year,GA,NA,9520,9520,9520,9520
Mercer UniversityPrivate 4-year,Private_4_year,GA,11616,36894,48510,36894,48510
Morehouse CollegePrivate 4-year,Private_4_year,GA,13438,27574,41012,27574,41012
Oglethorpe UniversityPrivate 4-year,Private_4_year,GA,13200,38100,51300,38100,51300
Paine CollegePrivate 4-year,Private_4_year,GA,6662,15595,22257,15595,22257
Piedmont CollegePrivate 4-year,Private_4_year,GA,10168,25920,36088,25920,36088
Point UniversityPrivate 4-year,Private_4_year,GA,7900,20600,28500,20600,28500
Reinhardt UniversityPrivate 4-year,Private_4_year,GA,10200,23300,33500,23300,33500
Savannah College of Art and DesignPrivate 4-year,Private_4_year,GA,14550,36630,51180,36630,51180
Shorter UniversityPrivate 4-year,Private_4_year,GA,9400,22370,31770,22370,31770
Spelman CollegePrivate 4-year,Private_4_year,GA,13865,29314,43179,29314,43179
Thomas UniversityPrivate 4-year,Private_4_year,GA,4800,16940,21740,16940,21740
Toccoa Falls CollegePrivate 4-year,Private_4_year,GA,8330,22744,31074,22744,31074
Truett McConnell UniversityPrivate 4-year,Private_4_year,GA,7550,20230,27780,20230,27780
Wesleyan CollegePrivate 4-year,Private_4_year,GA,9860,23000,32860,23000,32860
Young Harris CollegePrivate 4-year,Private_4_year,GA,12372,29117,41489,29117,41489
University of Hawaii at HiloPublic 4-year,Public_4 year,HI,11406,7720,19126,20680,32086
University of Hawaii at ManoaPublic 4-year,Public_4 year,HI,13689,11970,25659,34002,47691
University of Hawaii: West OahuPublic 4-year,Public_4 year,HI,NA,7512,7512,20472,20472
Brigham Young University-HawaiiPrivate 4-year,Private_4_year,HI,6586,5560,12146,5560,12146
Chaminade University of HonoluluPrivate 4-year,Private_4_year,HI,13630,25374,39004,25374,39004
Hawaii Pacific UniversityPrivate 4-year,Private_4_year,HI,14800,25980,40780,25980,40780
Iowa State UniversityPublic 4-year,Public_4 year,IA,8720,8988,17708,23392,32112
University of IowaPublic 4-year,Public_4 year,IA,11172,9267,20439,31233,42405
University of Northern IowaPublic 4-year,Public_4 year,IA,8948,8938,17886,19480,28428
Allen CollegePrivate 4-year,Private_4_year,IA,7282,19970,27252,19970,27252
Briar Cliff UniversityPrivate 4-year,Private_4_year,IA,9020,31964,40984,31964,40984
Buena Vista UniversityPrivate 4-year,Private_4_year,IA,9538,34004,43542,34004,43542
Central CollegePrivate 4-year,Private_4_year,IA,10280,37295,47575,37295,47575
Clarke UniversityPrivate 4-year,Private_4_year,IA,9600,33350,42950,33350,42950
Coe CollegePrivate 4-year,Private_4_year,IA,9480,45000,54480,45000,54480
Cornell CollegePrivate 4-year,Private_4_year,IA,9384,42299,51683,42299,51683
Divine Word CollegePrivate 4-year,Private_4_year,IA,3700,13485,17185,13485,17185
Dordt CollegePrivate 4-year,Private_4_year,IA,9590,30870,40460,30870,40460
Drake UniversityPrivate 4-year,Private_4_year,IA,10528,41396,51924,41396,51924
Emmaus Bible CollegePrivate 4-year,Private_4_year,IA,8500,18400,26900,18400,26900
Faith Baptist Bible College and Theological SeminaryPrivate 4-year,Private_4_year,IA,6800,16876,23676,16876,23676
Graceland UniversityPrivate 4-year,Private_4_year,IA,8760,29240,38000,29240,38000
Grand View UniversityPrivate 4-year,Private_4_year,IA,9178,27608,36786,27608,36786
Grinnell CollegePrivate 4-year,Private_4_year,IA,12810,52392,65202,52392,65202
Iowa Wesleyan CollegePrivate 4-year,Private_4_year,IA,10500,30500,41000,30500,41000
Loras CollegePrivate 4-year,Private_4_year,IA,8275,34184,42459,34184,42459
Luther CollegePrivate 4-year,Private_4_year,IA,9460,42290,51750,42290,51750
Maharishi University of ManagementPrivate 4-year,Private_4_year,IA,7400,16530,23930,16530,23930
Mercy College of Health SciencesPrivate 4-year,Private_4_year,IA,NA,17752,17752,17752,17752
Morningside CollegePrivate 4-year,Private_4_year,IA,9610,31530,41140,31530,41140
Mount Mercy UniversityPrivate 4-year,Private_4_year,IA,9534,31798,41332,31798,41332
Northwestern CollegePrivate 4-year,Private_4_year,IA,9200,31100,40300,31100,40300
Shiloh UniversityPrivate 4-year,Private_4_year,IA,NA,4800,4800,4800,4800
Simpson CollegePrivate 4-year,Private_4_year,IA,8380,39144,47524,39144,47524
St. Ambrose UniversityPrivate 4-year,Private_4_year,IA,10470,30894,41364,30894,41364
University of DubuquePrivate 4-year,Private_4_year,IA,9930,34110,44040,34110,44040
Upper Iowa UniversityPrivate 4-year,Private_4_year,IA,8454,30450,38904,30450,38904
Waldorf UniversityPrivate 4-year,Private_4_year,IA,7524,22076,29600,22076,29600
Wartburg CollegePrivate 4-year,Private_4_year,IA,9996,41280,51276,41280,51276
William Penn UniversityPrivate 4-year,Private_4_year,IA,6952,25600,32552,25600,32552
Boise State UniversityPublic 4-year,Public_4 year,ID,10692,7694,18386,23776,34468
Idaho State UniversityPublic 4-year,Public_4 year,ID,7207,7420,14627,22940,30147
Lewis-Clark State CollegePublic 4-year,Public_4 year,ID,7580,6618,14198,19236,26816
University of IdahoPublic 4-year,Public_4 year,ID,8880,7864,16744,25500,34380
Boise Bible CollegePrivate 4-year,Private_4_year,ID,6200,12520,18720,12520,18720
Brigham Young University-IdahoPrivate 4-year,Private_4_year,ID,4592,4118,8710,4118,8710
College of IdahoPrivate 4-year,Private_4_year,ID,9697,30155,39852,30155,39852
New Saint Andrews CollegePrivate 4-year,Private_4_year,ID,NA,12800,12800,12800,12800
Northwest Nazarene UniversityPrivate 4-year,Private_4_year,ID,7400,29300,36700,29300,36700
Chicago State UniversityPublic 4-year,Public_4 year,IL,8724,12177,20901,20877,29601
Eastern Illinois UniversityPublic 4-year,Public_4 year,IL,9882,11803,21685,14023,23905
Governors State UniversityPublic 4-year,Public_4 year,IL,10346,12196,22542,21586,31932
Illinois State UniversityPublic 4-year,Public_4 year,IL,9850,14516,24366,26040,35890
Northeastern Illinois UniversityPublic 4-year,Public_4 year,IL,11424,14022,25446,25907,37331
Northern Illinois UniversityPublic 4-year,Public_4 year,IL,10880,12262,23142,12262,23142
Southern Illinois University CarbondalePublic 4-year,Public_4 year,IL,10622,14704,25326,14704,25326
Southern Illinois University EdwardsvillePublic 4-year,Public_4 year,IL,11121,12132,23253,25817,36938
University of Illinois at ChicagoPublic 4-year,Public_4 year,IL,12074,13764,25838,26980,39054
University of Illinois at Urbana-ChampaignPublic 4-year,Public_4 year,IL,11308,15094,26402,31664,42972
University of Illinois: SpringfieldPublic 4-year,Public_4 year,IL,11660,11813,23473,21338,32998
Western Illinois UniversityPublic 4-year,Public_4 year,IL,9630,11267,20897,11267,20897
Chamberlain College Of Nursing: Tinley ParkFor-profit 4-year,For_profit_4_year,IL,NA,20850,20850,20850,20850
Midstate CollegeFor-profit 4-year,For_profit_4_year,IL,NA,10820,10820,10820,10820
American Academy of ArtPrivate 4-year,Private_4_year,IL,NA,34100,34100,34100,34100
Augustana CollegePrivate 4-year,Private_4_year,IL,10572,42135,52707,42135,52707
Aurora UniversityPrivate 4-year,Private_4_year,IL,11700,24260,35960,24260,35960
Blackburn CollegePrivate 4-year,Private_4_year,IL,7930,22410,30340,22410,30340
Blessing-Rieman College of Nursing & Health SciencesPrivate 4-year,Private_4_year,IL,NA,25250,25250,25250,25250
Benedictine UniversityPrivate 4-year,Private_4_year,IL,9480,34290,43770,34290,43770
Bradley UniversityPrivate 4-year,Private_4_year,IL,10620,33760,44380,33760,44380
Columbia College ChicagoPrivate 4-year,Private_4_year,IL,14012,27176,41188,27176,41188
Concordia University ChicagoPrivate 4-year,Private_4_year,IL,9748,32078,41826,32078,41826
DePaul UniversityPrivate 4-year,Private_4_year,IL,14235,39975,54210,39975,54210
Dominican UniversityPrivate 4-year,Private_4_year,IL,10241,33434,43675,33434,43675
East-West UniversityPrivate 4-year,Private_4_year,IL,NA,20970,20970,20970,20970
Elmhurst CollegePrivate 4-year,Private_4_year,IL,10366,37055,47421,37055,47421
Eureka CollegePrivate 4-year,Private_4_year,IL,9620,25390,35010,25390,35010
Greenville UniversityPrivate 4-year,Private_4_year,IL,9048,27152,36200,27152,36200
Hebrew Theological CollegePrivate 4-year,Private_4_year,IL,12380,12920,25300,12920,25300
Illinois CollegePrivate 4-year,Private_4_year,IL,9280,33090,42370,33090,42370
Illinois Institute of TechnologyPrivate 4-year,Private_4_year,IL,12762,47296,60058,47296,60058
Illinois Wesleyan UniversityPrivate 4-year,Private_4_year,IL,10984,47636,58620,47636,58620
Judson UniversityPrivate 4-year,Private_4_year,IL,9988,29860,39848,29860,39848
Knox CollegePrivate 4-year,Private_4_year,IL,9870,46554,56424,46554,56424
Lake Forest CollegePrivate 4-year,Private_4_year,IL,10390,47064,57454,47064,57454
Lakeview College of NursingPrivate 4-year,Private_4_year,IL,NA,16320,16320,16320,16320
Lewis UniversityPrivate 4-year,Private_4_year,IL,10578,32450,43028,32450,43028
Lincoln Christian UniversityPrivate 4-year,Private_4_year,IL,7564,13200,20764,13200,20764
Loyola University ChicagoPrivate 4-year,Private_4_year,IL,14480,44048,58528,44048,58528
MacMurray CollegePrivate 4-year,Private_4_year,IL,9440,27690,37130,27690,37130
McKendree UniversityPrivate 4-year,Private_4_year,IL,9920,30520,40440,30520,40440
Methodist CollegePrivate 4-year,Private_4_year,IL,7440,20800,28240,20800,28240
Millikin UniversityPrivate 4-year,Private_4_year,IL,11818,35102,46920,35102,46920
Monmouth CollegePrivate 4-year,Private_4_year,IL,8966,37674,46640,37674,46640
Moody Bible InstitutePrivate 4-year,Private_4_year,IL,11820,13565,25385,13565,25385
National University of Health SciencesPrivate 4-year,Private_4_year,IL,NA,12609,12609,12609,12609
National-Louis UniversityPrivate 4-year,Private_4_year,IL,NA,10710,10710,10710,10710
North Central CollegePrivate 4-year,Private_4_year,IL,11019,38880,49899,38880,49899
North Park UniversityPrivate 4-year,Private_4_year,IL,9866,29190,39056,29190,39056
Northwestern UniversityPrivate 4-year,Private_4_year,IL,16626,54567,71193,54567,71193
Olivet Nazarene UniversityPrivate 4-year,Private_4_year,IL,7900,36070,43970,36070,43970
Principia CollegePrivate 4-year,Private_4_year,IL,11610,29470,41080,29470,41080
Quincy UniversityPrivate 4-year,Private_4_year,IL,10500,28462,38962,28462,38962
Resurrection UniversityPrivate 4-year,Private_4_year,IL,NA,26390,26390,26390,26390
Robert Morris University: ChicagoPrivate 4-year,Private_4_year,IL,NA,28530,28530,28530,28530
Rockford UniversityPrivate 4-year,Private_4_year,IL,8660,30930,39590,30930,39590
Roosevelt UniversityPrivate 4-year,Private_4_year,IL,13223,29832,43055,29832,43055
Rush UniversityPrivate 4-year,Private_4_year,IL,NA,24900,24900,24900,24900
Saint Anthony College of NursingPrivate 4-year,Private_4_year,IL,NA,25948,25948,25948,25948
Saint Xavier UniversityPrivate 4-year,Private_4_year,IL,11340,33880,45220,33880,45220
School of the Art Institute of ChicagoPrivate 4-year,Private_4_year,IL,15890,49270,65160,49270,65160
St. Augustine CollegePrivate 4-year,Private_4_year,IL,NA,11400,11400,11400,11400
St. Francis Medical Center College of NursingPrivate 4-year,Private_4_year,IL,3700,20460,24160,20460,24160
St. John's CollegePrivate 4-year,Private_4_year,IL,NA,23695,23695,23695,23695
Telshe Yeshiva-ChicagoPrivate 4-year,Private_4_year,IL,NA,15000,15000,15000,15000
Trinity Christian CollegePrivate 4-year,Private_4_year,IL,9790,30650,40440,30650,40440
Trinity College of Nursing & Health SciencesPrivate 4-year,Private_4_year,IL,NA,24215,24215,24215,24215
Trinity International UniversityPrivate 4-year,Private_4_year,IL,9900,32390,42290,32390,42290
University of ChicagoPrivate 4-year,Private_4_year,IL,16350,58230,74580,58230,74580
University of St. FrancisPrivate 4-year,Private_4_year,IL,9544,32320,41864,32320,41864
VanderCook College of MusicPrivate 4-year,Private_4_year,IL,13192,28434,41626,28434,41626
Wheaton CollegePrivate 4-year,Private_4_year,IL,10180,36420,46600,36420,46600
Ball State UniversityPublic 4-year,Public_4 year,IN,10234,9896,20130,26468,36702
Indiana State UniversityPublic 4-year,Public_4 year,IN,10590,9090,19680,19836,30426
Indiana University BloomingtonPublic 4-year,Public_4 year,IN,10465,10681,21146,35456,45921
Indiana University EastPublic 4-year,Public_4 year,IN,NA,7344,7344,19400,19400
Indiana University KokomoPublic 4-year,Public_4 year,IN,NA,7344,7344,19400,19400
Indiana University NorthwestPublic 4-year,Public_4 year,IN,NA,7344,7344,19400,19400
Indiana University South BendPublic 4-year,Public_4 year,IN,7309,7344,14653,19400,26709
Indiana University SoutheastPublic 4-year,Public_4 year,IN,6780,7344,14124,19400,26180
Indiana University-Purdue University Fort WaynePublic 4-year,Public_4 year,IN,5996,8450,14446,20288,26284
Indiana University-Purdue University IndianapolisPublic 4-year,Public_4 year,IN,8924,9465,18389,29821,38745
Purdue UniversityPublic 4-year,Public_4 year,IN,10030,9992,20022,28794,38824
Purdue University NorthwestPublic 4-year,Public_4 year,IN,7640,7686,15326,17368,25008
University of Southern IndianaPublic 4-year,Public_4 year,IN,8838,7970,16808,18626,27464
Anderson UniversityPrivate 4-year,Private_4_year,IN,9890,30450,40340,30450,40340
Bethel CollegePrivate 4-year,Private_4_year,IN,9000,28590,37590,28590,37590
Butler UniversityPrivate 4-year,Private_4_year,IN,13830,41120,54950,41120,54950
Calumet College of St. JosephPrivate 4-year,Private_4_year,IN,NA,19870,19870,19870,19870
Crossroads Bible CollegePrivate 4-year,Private_4_year,IN,NA,12400,12400,12400,12400
DePauw UniversityPrivate 4-year,Private_4_year,IN,13020,49704,62724,49704,62724
Earlham CollegePrivate 4-year,Private_4_year,IN,10400,46450,56850,46450,56850
Franklin CollegePrivate 4-year,Private_4_year,IN,9946,32010,41956,32010,41956
Goshen CollegePrivate 4-year,Private_4_year,IN,10650,33700,44350,33700,44350
Grace CollegePrivate 4-year,Private_4_year,IN,9134,24768,33902,24768,33902
Hanover CollegePrivate 4-year,Private_4_year,IN,11580,37670,49250,37670,49250
Holy Cross CollegePrivate 4-year,Private_4_year,IN,11500,30820,42320,30820,42320
Huntington UniversityPrivate 4-year,Private_4_year,IN,8668,26180,34848,26180,34848
Indiana Institute of TechnologyPrivate 4-year,Private_4_year,IN,10020,26900,36920,26900,36920
Indiana Wesleyan UniversityPrivate 4-year,Private_4_year,IN,8312,25980,34292,25980,34292
Manchester UniversityPrivate 4-year,Private_4_year,IN,9580,32758,42338,32758,42338
Marian UniversityPrivate 4-year,Private_4_year,IN,10640,34000,44640,34000,44640
Martin UniversityPrivate 4-year,Private_4_year,IN,7810,16500,24310,16500,24310
Oakland City UniversityPrivate 4-year,Private_4_year,IN,9900,24000,33900,24000,33900
Rose-Hulman Institute of TechnologyPrivate 4-year,Private_4_year,IN,14766,49871,64637,49871,64637
Saint Joseph's CollegePrivate 4-year,Private_4_year,IN,13280,34880,48160,34880,48160
Saint Mary's CollegePrivate 4-year,Private_4_year,IN,12580,42220,54800,42220,54800
St. Mary-of-the-Woods CollegePrivate 4-year,Private_4_year,IN,10914,29510,40424,29510,40424
Taylor UniversityPrivate 4-year,Private_4_year,IN,9614,34114,43728,34114,43728
Trine UniversityPrivate 4-year,Private_4_year,IN,10810,32175,42985,32175,42985
University of EvansvillePrivate 4-year,Private_4_year,IN,12460,36416,48876,36416,48876
University of IndianapolisPrivate 4-year,Private_4_year,IN,10288,29688,39976,29688,39976
University of Notre DamePrivate 4-year,Private_4_year,IN,15410,53391,68801,53391,68801
University of Saint FrancisPrivate 4-year,Private_4_year,IN,9840,30615,40455,30615,40455
Valparaiso UniversityPrivate 4-year,Private_4_year,IN,11860,40260,52120,40260,52120
Wabash CollegePrivate 4-year,Private_4_year,IN,10050,43450,53500,43450,53500
Emporia State UniversityPublic 4-year,Public_4 year,KS,8912,6758,15670,20675,29587
Fort Hays State UniversityPublic 4-year,Public_4 year,KS,8300,5133,13433,15201,23501
Haskell Indian Nations UniversityPublic 4-year,Public_4 year,KS,950,480,1430,480,1430
Kansas State UniversityPublic 4-year,Public_4 year,KS,9680,10263,19943,25767,35447
Pittsburg State UniversityPublic 4-year,Public_4 year,KS,7778,7298,15076,18642,26420
University of KansasPublic 4-year,Public_4 year,KS,10350,11148,21498,27358,37708
University of Kansas Medical CenterPublic 4-year,Public_4 year,KS,NA,11108,11108,27578,27578
Washburn UniversityPublic 4-year,Public_4 year,KS,8237,8870,17107,19940,28177
Wichita State UniversityPublic 4-year,Public_4 year,KS,11252,8271,19523,17452,28704
Grantham UniversityFor-profit 4-year,For_profit_4_year,KS,NA,6540,6540,6540,6540
Baker UniversityPrivate 4-year,Private_4_year,KS,8410,29830,38240,29830,38240
Barclay CollegePrivate 4-year,Private_4_year,KS,9300,19690,28990,19690,28990
Bethany CollegePrivate 4-year,Private_4_year,KS,10605,28475,39080,28475,39080
Bethel CollegePrivate 4-year,Private_4_year,KS,8850,28780,37630,28780,37630
Benedictine CollegePrivate 4-year,Private_4_year,KS,10300,29530,39830,29530,39830
Central Christian College of KansasPrivate 4-year,Private_4_year,KS,8286,26674,34960,26674,34960
Friends UniversityPrivate 4-year,Private_4_year,KS,7972,28415,36387,28415,36387
Kansas Wesleyan UniversityPrivate 4-year,Private_4_year,KS,9500,29500,39000,29500,39000
Manhattan Christian CollegePrivate 4-year,Private_4_year,KS,9092,15850,24942,15850,24942
McPherson CollegePrivate 4-year,Private_4_year,KS,8788,28951,37739,28951,37739
MidAmerica Nazarene UniversityPrivate 4-year,Private_4_year,KS,8708,30736,39444,30736,39444
Newman UniversityPrivate 4-year,Private_4_year,KS,8326,30724,39050,30724,39050
Ottawa UniversityPrivate 4-year,Private_4_year,KS,11900,27630,39530,27630,39530
Southwestern CollegePrivate 4-year,Private_4_year,KS,7760,30150,37910,30150,37910
Sterling CollegePrivate 4-year,Private_4_year,KS,8280,26000,34280,26000,34280
Tabor CollegePrivate 4-year,Private_4_year,KS,9850,28245,38095,28245,38095
University of St. MaryPrivate 4-year,Private_4_year,KS,8140,28810,36950,28810,36950
Eastern Kentucky UniversityPublic 4-year,Public_4 year,KY,9018,9296,18314,19074,28092
Kentucky State UniversityPublic 4-year,Public_4 year,KY,6690,8090,14780,19390,26080
Morehead State UniversityPublic 4-year,Public_4 year,KY,9960,9170,19130,13646,23606
Murray State UniversityPublic 4-year,Public_4 year,KY,9190,9084,18274,24540,33730
Northern Kentucky UniversityPublic 4-year,Public_4 year,KY,10022,10032,20054,19680,29702
University of KentuckyPublic 4-year,Public_4 year,KY,12982,12245,25227,29099,42081
University of LouisvillePublic 4-year,Public_4 year,KY,9226,11656,20882,27278,36504
Western Kentucky UniversityPublic 4-year,Public_4 year,KY,8343,10602,18945,26496,34839
Beckfield CollegeFor-profit 4-year,For_profit_4_year,KY,NA,4000,4000,4000,4000
Asbury UniversityPrivate 4-year,Private_4_year,KY,7160,30198,37358,30198,37358
Bellarmine UniversityPrivate 4-year,Private_4_year,KY,12250,42200,54450,42200,54450
Berea CollegePrivate 4-year,Private_4_year,KY,6764,39990,46754,39990,46754
Brescia UniversityPrivate 4-year,Private_4_year,KY,9200,22400,31600,22400,31600
Campbellsville UniversityPrivate 4-year,Private_4_year,KY,8000,25400,33400,25400,33400
Centre CollegePrivate 4-year,Private_4_year,KY,10480,41700,52180,41700,52180
Clear Creek Baptist Bible CollegePrivate 4-year,Private_4_year,KY,4160,9440,13600,9440,13600
Georgetown CollegePrivate 4-year,Private_4_year,KY,9780,38650,48430,38650,48430
Kentucky Christian UniversityPrivate 4-year,Private_4_year,KY,8270,19820,28090,19820,28090
Kentucky Mountain Bible CollegePrivate 4-year,Private_4_year,KY,5050,9460,14510,9460,14510
Kentucky Wesleyan CollegePrivate 4-year,Private_4_year,KY,9764,26440,36204,26440,36204
Lindsey Wilson CollegePrivate 4-year,Private_4_year,KY,9385,24850,34235,24850,34235
Midway UniversityPrivate 4-year,Private_4_year,KY,8480,24650,33130,24650,33130
Southern Baptist Theological SeminaryPrivate 4-year,Private_4_year,KY,NA,12985,12985,12985,12985
Spalding UniversityPrivate 4-year,Private_4_year,KY,7600,24500,32100,24500,32100
Thomas More CollegePrivate 4-year,Private_4_year,KY,7950,31120,39070,31120,39070
Transylvania UniversityPrivate 4-year,Private_4_year,KY,10460,38750,49210,38750,49210
Union CollegePrivate 4-year,Private_4_year,KY,7600,27140,34740,27140,34740
University of PikevillePrivate 4-year,Private_4_year,KY,7800,20950,28750,20950,28750
University of the CumberlandsPrivate 4-year,Private_4_year,KY,9000,23000,32000,23000,32000
Grambling State UniversityPublic 4-year,Public_4 year,LA,7192,7435,14627,16458,23650
Louisiana State University and Agricultural and Mechanical CollegePublic 4-year,Public_4 year,LA,11830,11950,23780,28627,40457
Louisiana State University at AlexandriaPublic 4-year,Public_4 year,LA,NA,6964,6964,14230,14230
Louisiana State University Health Sciences Center New OrleansPublic 4-year,Public_4 year,LA,5650,6923,12573,13705,19355
Louisiana State University in ShreveportPublic 4-year,Public_4 year,LA,NA,7235,7235,20389,20389
Louisiana Tech UniversityPublic 4-year,Public_4 year,LA,6495,9645,16140,18558,25053
McNeese State UniversityPublic 4-year,Public_4 year,LA,8704,7859,16563,18934,27638
Nicholls State UniversityPublic 4-year,Public_4 year,LA,9938,7982,17920,9075,19013
Northwestern State UniversityPublic 4-year,Public_4 year,LA,8884,8580,17464,19368,28252
Southeastern Louisiana UniversityPublic 4-year,Public_4 year,LA,8420,8165,16585,20643,29063
Southern University and Agricultural and Mechanical CollegePublic 4-year,Public_4 year,LA,9105,9123,18228,16472,25577
Southern University at New OrleansPublic 4-year,Public_4 year,LA,9040,9371,18411,11160,20200
University of Louisiana at LafayettePublic 4-year,Public_4 year,LA,8516,10616,19132,24344,32860
University of Louisiana at MonroePublic 4-year,Public_4 year,LA,7850,8734,16584,20834,28684
University of New OrleansPublic 4-year,Public_4 year,LA,10575,9054,19629,13890,24465
Southwest UniversityFor-profit 4-year,For_profit_4_year,LA,NA,8450,8450,8450,8450
Centenary College of LouisianaPrivate 4-year,Private_4_year,LA,13400,36580,49980,36580,49980
Dillard UniversityPrivate 4-year,Private_4_year,LA,10100,18099,28199,18099,28199
Louisiana CollegePrivate 4-year,Private_4_year,LA,5618,17000,22618,17000,22618
Loyola University New OrleansPrivate 4-year,Private_4_year,LA,13380,39692,53072,39692,53072
New Orleans Baptist Theological SeminaryPrivate 4-year,Private_4_year,LA,2625,7775,10400,7775,10400
Our Lady of the Lake CollegePrivate 4-year,Private_4_year,LA,NA,16484,16484,16484,16484
St. Joseph Seminary CollegePrivate 4-year,Private_4_year,LA,15150,17800,32950,17800,32950
Tulane UniversityPrivate 4-year,Private_4_year,LA,15190,54820,70010,54820,70010
University of Holy CrossPrivate 4-year,Private_4_year,LA,NA,17300,17300,17300,17300
Xavier University of LouisianaPrivate 4-year,Private_4_year,LA,9047,24488,33535,24488,33535
Bridgewater State UniversityPublic 4-year,Public_4 year,MA,13090,10367,23457,16507,29597
Fitchburg State UniversityPublic 4-year,Public_4 year,MA,10922,10355,21277,16435,27357
Framingham State UniversityPublic 4-year,Public_4 year,MA,12306,10335,22641,16415,28721
Massachusetts College of Art and DesignPublic 4-year,Public_4 year,MA,13500,13200,26700,36400,49900
Massachusetts College of Liberal ArtsPublic 4-year,Public_4 year,MA,10980,10734,21714,19679,30659
Massachusetts Maritime AcademyPublic 4-year,Public_4 year,MA,12675,9724,22399,26102,38777
Salem State UniversityPublic 4-year,Public_4 year,MA,12722,10884,23606,17024,29746
University of Massachusetts AmherstPublic 4-year,Public_4 year,MA,13202,16072,29274,34755,47957
University of Massachusetts BostonPublic 4-year,Public_4 year,MA,16290,14167,30457,33966,50256
University of Massachusetts DartmouthPublic 4-year,Public_4 year,MA,13582,13921,27503,29141,42723
University of Massachusetts LowellPublic 4-year,Public_4 year,MA,12748,15180,27928,32827,45575
Westfield State UniversityPublic 4-year,Public_4 year,MA,10948,10429,21377,16509,27457
Worcester State UniversityPublic 4-year,Public_4 year,MA,12262,10161,22423,16241,28503
American International CollegePrivate 4-year,Private_4_year,MA,14300,35680,49980,35680,49980
Amherst CollegePrivate 4-year,Private_4_year,MA,14740,56426,71166,56426,71166
Anna Maria CollegePrivate 4-year,Private_4_year,MA,14630,37860,52490,37860,52490
Assumption CollegePrivate 4-year,Private_4_year,MA,12694,40958,53652,40958,53652
