Occupation,Numworkers,median_wage,male_worker,male_wage,female_worker,female_wage
Print binding and finishing workers,12,NA,6,NA,6,NA
Laundry and dryNAcleaning workers,108,432,32,NA,76,416
"Pressers, textile, garment, and related materials",28,NA,11,NA,18,NA
Sewing machine operators,131,498,37,NA,94,497
Shoe and leather workers and repairers,1,NA,1,NA,0,NA
Shoe machine operators and tenders,6,NA,2,NA,3,NA
"Tailors, dressmakers, and sewers",43,NA,19,NA,24,NA
Textile bleaching and dyeing machine operators and tenders,0,NA,0,NA,0,NA
"Textile cutting machine setters, operators, and tenders",7,NA,7,NA,0,NA
"Textile knitting and weaving machine setters, operators, and tenders",5,NA,2,NA,3,NA
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",3,NA,2,NA,1,NA
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,NA,0,NA,0,NA
Fabric and apparel patternmakers,3,NA,0,NA,3,NA
Upholsterers,19,NA,14,NA,5,NA
"Textile, apparel, and furnishings workers, all other",14,NA,7,NA,7,NA
Cabinetmakers and bench carpenters,47,NA,44,NA,3,NA
Furniture finishers,15,NA,13,NA,2,NA
"Model makers and patternmakers, wood",0,NA,0,NA,0,NA
"Sawing machine setters, operators, and tenders, wood",32,NA,27,NA,4,NA
"Woodworking machine setters, operators, and tenders, except sawing",23,NA,13,NA,10,NA
"Woodworkers, all other",11,NA,11,NA,0,NA
"Power plant operators, distributors, and dispatchers",33,NA,32,NA,1,NA
Stationary engineers and boiler operators,84,"1,073",82,"1,086",2,NA
Water and wastewater treatment plant and system operators,99,943,94,940,5,NA
Miscellaneous plant and system operators,35,NA,35,NA,0,NA
"Chemical processing machine setters, operators, and tenders",65,894,57,899,8,NA
"Crushing, grinding, polishing, mixing, and blending workers",83,672,78,673,5,NA
Cutting workers,56,595,43,NA,12,NA
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",17,NA,14,NA,3,NA
"Furnace, kiln, oven, drier, and kettle operators and tenders",20,NA,15,NA,4,NA
"Inspectors, testers, sorters, samplers, and weighers",756,771,490,868,267,679
Jewelers and precious stone and metal workers,20,NA,13,NA,7,NA
"Medical, dental, and ophthalmic laboratory technicians",74,741,33,NA,41,NA
Packaging and filling machine operators and tenders,250,529,110,602,140,496
Painting workers,159,710,142,725,16,NA
Photographic process workers and processing machine operators,15,NA,11,NA,4,NA
Semiconductor processors,1,NA,1,NA,0,NA
Adhesive bonding machine operators and tenders,8,NA,5,NA,3,NA
"Cleaning, washing, and metal pickling equipment operators and tenders",6,NA,6,NA,0,NA
Cooling and freezing equipment operators and tenders,4,NA,4,NA,0,NA
Etchers and engravers,8,NA,6,NA,2,NA
"Molders, shapers, and casters, except metal and plastic",28,NA,27,NA,0,NA
"Paper goods machine setters, operators, and tenders",20,NA,16,NA,4,NA
Tire builders,5,NA,5,NA,0,NA
HelpersNANAproduction workers,37,NA,26,NA,10,NA
"Production workers, all other",992,678,729,725,263,566
Transportation and material moving occupations,"7,542",689,"6,305",724,"1,237",538
Supervisors of transportation and material moving workers,197,850,152,878,45,NA
Aircraft pilots and flight engineers,98,"1,743",91,"1,837",7,NA
Air traffic controllers and airfield operations specialists,38,NA,35,NA,3,NA
Flight attendants,74,878,21,NA,53,822
"Ambulance drivers and attendants, except emergency medical technicians",8,NA,8,NA,0,NA
Bus drivers,361,655,216,735,144,599
Driver/sales workers and truck drivers,"2,791",817,"2,636",829,155,559
Taxi drivers and chauffeurs,399,611,341,628,58,450
"Motor vehicle operators, all other",39,NA,34,NA,5,NA
Locomotive engineers and operators,34,NA,30,NA,5,NA
"Railroad brake, signal, and switch operators",3,NA,3,NA,0,NA
Railroad conductors and yardmasters,54,"1,132",50,"1,143",4,NA
"Subway, streetcar, and other rail transportation workers",17,NA,17,NA,0,NA
Sailors and marine oilers,21,NA,20,NA,1,NA
Ship and boat captains and operators,30,NA,29,NA,1,NA
Ship engineers,7,NA,7,NA,0,NA
Bridge and lock tenders,5,NA,5,NA,0,NA
Parking lot attendants,61,575,54,575,8,NA
Automotive and watercraft service attendants,70,570,56,575,14,NA
Transportation inspectors,37,NA,34,NA,3,NA
"Transportation attendants, except flight attendants",19,NA,5,NA,13,NA
Other transportation workers,19,NA,18,NA,0,NA
Conveyor operators and tenders,4,NA,4,NA,0,NA
Crane and tower operators,64,"1,122",60,"1,079",3,NA
"Dredge, excavating, and loading machine operators",19,NA,19,NA,0,NA
Hoist and winch operators,8,NA,8,NA,0,NA
Industrial truck and tractor operators,596,641,549,641,48,NA
Cleaners of vehicles and equipment,232,538,192,536,40,NA
"Laborers and freight, stock, and material movers, hand","1,595",603,"1,277",620,318,541
Machine feeders and offbearers,25,NA,15,NA,10,NA
"Packers and packagers, hand",490,495,205,516,285,484
Pumping station operators,16,NA,16,NA,0,NA
Refuse and recyclable material collectors,63,524,55,536,8,NA
Mine shuttle car operators,0,NA,0,NA,0,NA
"Tank car, truck, and ship loaders",6,NA,6,NA,0,NA
"Material moving workers, all other",41,NA,37,NA,4,NA
