Occupation,Numworkers,median_wage,male_worker,male_wage,female_worker,female_wage
Astronomers and physicists,14,NA,14,NA,0,NA
Atmospheric and space scientists,7,NA,6,NA,1,NA
Chemists and materials scientists,115,"1,284",70,"1,362",45,NA
Environmental scientists and geoscientists,80,"1,336",52,"1,427",28,NA
"Physical scientists, all other",289,"1,455",169,"1,582",120,"1,341"
Economists,35,NA,29,NA,6,NA
Survey researchers,0,NA,0,NA,0,NA
Psychologists,134,"1,331",35,NA,99,"1,255"
Sociologists,5,NA,2,NA,3,NA
Urban and regional planners,28,NA,15,NA,13,NA
Miscellaneous social scientists and related workers,39,NA,25,NA,14,NA
Agricultural and food science technicians,31,NA,24,NA,7,NA
Biological technicians,17,NA,10,NA,7,NA
Chemical technicians,58,"1,002",42,NA,17,NA
Geological and petroleum technicians,11,NA,7,NA,4,NA
Nuclear technicians,11,NA,8,NA,3,NA
Social science research assistants,0,NA,0,NA,0,NA
"Miscellaneous life, physical, and social science technicians",124,862,66,893,58,856
Community and social service occupations,"2,223",913,754,984,"1,469",886
Counselors,705,941,199,"1,004",506,913
Social workers,753,907,141,958,611,897
Probation officers and correctional treatment specialists,105,944,45,NA,60,930
Social and human service assistants,166,749,33,NA,133,752
"Miscellaneous community and social service specialists, including health educators and community health workers",62,881,14,NA,48,NA
Clergy,337,990,268,"1,036",68,855
"Directors, religious activities and education",51,927,27,NA,25,NA
"Religious workers, all other",45,NA,27,NA,18,NA
Legal occupations,"1,466","1,467",651,"1,910",815,"1,243"
Lawyers,853,"1,947",509,"2,202",344,"1,762"
Judicial law clerks,15,NA,7,NA,8,NA
"Judges, magistrates, and other judicial workers",69,"1,602",49,NA,19,NA
Paralegals and legal assistants,413,948,54,917,359,953
Miscellaneous legal support workers,117,"1,143",32,NA,85,"1,109"
"Education, training, and library occupations","7,166","1,002","1,915","1,235","5,251",934
Postsecondary teachers,994,"1,439",534,"1,603",460,"1,253"
Preschool and kindergarten teachers,568,648,14,NA,555,643
Elementary and middle school teachers,"3,030","1,010",620,"1,148","2,410",982
Secondary school teachers,948,"1,141",392,"1,226",556,"1,092"
Special education teachers,324,"1,039",43,NA,281,"1,042"
Other teachers and instructors,388,957,172,"1,095",215,840
"Archivists, curators, and museum technicians",37,NA,17,NA,20,NA
Librarians,127,927,29,NA,98,910
Library technicians,10,NA,3,NA,7,NA
Teacher assistants,615,556,62,584,553,550
"Other education, training, and library workers",125,"1,095",30,NA,95,"1,036"
"Arts, design, entertainment, sports, and media occupations","1,880","1,086","1,052","1,151",828,997
Artists and related workers,64,"1,078",46,NA,18,NA
Designers,684,"1,060",357,"1,169",327,932
Actors,7,NA,5,NA,2,NA
Producers and directors,147,"1,224",98,"1,476",49,NA
"Athletes, coaches, umpires, and related workers",164,"1,044",129,"1,049",35,NA
Dancers and choreographers,11,NA,4,NA,7,NA
"Musicians, singers, and related workers",47,NA,28,NA,19,NA
"Entertainers and performers, sports and related workers, all other",17,NA,7,NA,10,NA
Announcers,26,NA,22,NA,4,NA
"News analysts, reporters and correspondents",59,"1,012",29,NA,30,NA
Public relations specialists,118,"1,313",40,NA,78,"1,169"
Editors,124,"1,112",57,"1,104",67,"1,138"
Technical writers,60,"1,318",25,NA,35,NA
Writers and authors,110,"1,233",42,NA,68,"1,036"
Miscellaneous media and communication workers,62,880,12,NA,51,850
Broadcast and sound engineering technicians and radio operators,73,"1,028",66,"1,038",7,NA
Photographers,68,904,51,"1,006",16,NA
"Television, video, and motion picture camera operators and editors",35,NA,30,NA,6,NA
"Media and communication equipment workers, all other",4,NA,4,NA,0,NA
Healthcare practitioners and technical occupations,"7,154","1,140","1,800","1,383","5,354","1,078"
Chiropractors,15,NA,12,NA,3,NA
Dentists,56,"1,884",27,NA,28,NA
Dietitians and nutritionists,70,967,8,NA,63,940
Optometrists,29,NA,13,NA,15,NA
Pharmacists,263,"2,071",98,"2,271",165,"1,890"
Physicians and surgeons,827,"2,001",475,"2,513",352,"1,677"
Physician assistants,118,"1,752",37,NA,80,"1,646"
Podiatrists,4,NA,3,NA,1,NA
Audiologists,8,NA,2,NA,6,NA
Occupational therapists,80,"1,283",16,NA,64,"1,252"
Physical therapists,209,"1,395",71,"1,410",139,"1,387"
Radiation therapists,13,NA,6,NA,8,NA
Recreational therapists,11,NA,1,NA,10,NA
Respiratory therapists,95,"1,074",36,NA,59,"1,000"
SpeechNAlanguage pathologists,105,"1,215",6,NA,100,"1,214"
Exercise physiologists,2,NA,0,NA,2,NA
"Therapists, all other",155,"1,047",33,NA,122,"1,014"
Veterinarians,64,"1,677",18,NA,46,NA
Registered nurses,"2,584","1,167",315,"1,271","2,270","1,156"
Nurse anesthetists,22,NA,13,NA,8,NA
Nurse midwives,2,NA,0,NA,2,NA
Nurse practitioners,158,"1,894",24,NA,134,"1,891"
"Health diagnosing and treating practitioners, all other",10,NA,6,NA,4,NA
Clinical laboratory technologists and technicians,290,893,75,819,215,911
Dental hygienists,75,"1,047",3,NA,72,"1,055"
Diagnostic related technologists and technicians,269,"1,140",97,"1,232",172,"1,061"
Emergency medical technicians and paramedics,180,894,122,943,59,764
Health practitioner support technologists and technicians,542,691,112,807,431,655
Licensed practical and licensed vocational nurses,490,757,56,936,434,743
Medical records and health information technicians,140,765,11,NA,129,739
"Opticians, dispensing",47,NA,11,NA,36,NA
