life
491
485
503
492
482
490
489
495
497
487
493
480
482
504
501
486
478
492
482
502
485
503
497
500
488
475
478
490
487
486
487
501
502
491
500
491
497
488
483
480
500
492
496
486
486
500
504
504
480
503
