bed,bath,sqft,lotacres,year,date,persqft,days_on_mark,orig_price,price,type
4,3,"1,605",0.02,2015,1/8/20,204.98,22,330000,329000,townhouses
4,3,"1,605",0.02,2015,12/26/19,205.61,35,330000,330000,townhouses
4,2.75,"1,624",0.02,2019,10/14/19,206.22,108,334900,334900,townhouses
4,2.75,"1,624",0.02,2019,10/14/19,206.21,108,334900,334900,townhouses
4,2.75,"1,624",0.02,2019,10/14/19,209.29,108,339900,339900,townhouses
4,2.5,"1,739",0.05,2005,8/3/19,198.39,180,349900,345000,townhouses
2,2,"1,534",0.05,2019,3/15/19,225,321,324900,345158,townhouses
3,2,"1,534",0.05,2019,3/15/19,227.4,321,324650,348829,townhouses
3,2.5,"1,937",0.05,2019,1/1/20,190.62,120,369240,369240,townhouses
3,2.5,"1,937",0.05,2020,1/1/20,192.45,120,372775,372775,townhouses
4,2.5,"1,937",0.05,2019,1/1/20,198.05,180,383620,383620,townhouses
2,2,"1,256",0.08,2020,1/1/20,318.04,92,399462,399462,townhouses
3,2.5,"2,140",0.11,2011,1/27/20,186.87,3,399900,399900,townhouses
3,2.5,"1,715",0.08,2019,1/1/20,236.49,186,405572,405572,townhouses
4,2.5,"1,865",0.07,2019,1/1/20,220.86,355,411898,411898,townhouses
3,2.5,"2,106",0.1,2006,7/8/19,199.38,206,444900,419900,townhouses
4,3,"2,280",0.05,2017,1/24/20,186.4,6,425000,425000,townhouses
3,2.5,"2,402",0.07,2013,11/4/19,197.75,87,475000,475000,townhouses
4,2.5,"2,296",0.07,2014,1/16/20,208.62,14,479000,479000,townhouses
4,3.5,"3,060",0.09,2007,12/20/19,158.5,41,485000,485000,townhouses
3,3.5,"2,179",0.09,2006,1/17/20,222.58,13,485000,485000,townhouses
3,3,"2,483",0.08,2006,1/23/20,196.94,7,489000,489000,townhouses
3,2.5,"2,247",0.06,2020,11/14/19,219.29,77,487735,492735,townhouses
4,3.5,"2,294",0.07,2017,1/10/20,228.86,20,525000,525000,townhouses
3,2.5,"2,044",0,2018,1/27/20,256.85,3,525000,525000,townhouses
3,2.5,"2,421",0.07,2020,8/17/19,230.68,166,527000,558493,townhouses
4,3.5,"3,074",0.14,2019,7/3/18,301.88,576,878000,928000,townhouses
