CO2 Emissions per Capita (metric tons)                                                                                                                                                                                 
Location,Location Type,TimeFrame,Data Type,Data,Footnotes                                                                                                                                                              
Latvia,Country,2006,Number,3.5,                                                                                                                                                                                        
Lebanon,Country,2006,Number,3.3,                                                                                                                                                                                       
Lesotho,Country,2006,Number,-,1                                                                                                                                                                                        
Liberia,Country,2006,Number,-,1                                                                                                                                                                                        
Libya,Country,2006,Number,7.0,                                                                                                                                                                                         
Liechtenstein,Country,2006,Number,-,1                                                                                                                                                                                  
Lithuania,Country,2006,Number,4.0,                                                                                                                                                                                     
Luxembourg,Country,2006,Number,23.6,                                                                                                                                                                                   
Macao, SAR                                                                                                                                                                                                             
Macedonia,Country,2006,Number,3.9,                                                                                                                                                                                     
Madagascar,Country,2006,Number,-,1                                                                                                                                                                                     
Malawi,Country,2006,Number,-,1                                                                                                                                                                                         
Malaysia,Country,2006,Number,5.9,                                                                                                                                                                                      
Maldives,Country,2006,Number,-,1                                                                                                                                                                                       
Mali,Country,2006,Number,-,1                                                                                                                                                                                           
Malta,Country,2006,Number,6.2,                                                                                                                                                                                         
Marshall Islands,Country,2006,Number,-,1                                                                                                                                                                               
Martinique,Country,2006,Number,-,1                                                                                                                                                                                     
Mauritania,Country,2006,Number,-,1                                                                                                                                                                                     
Mauritius,Country,2006,Number,-,1                                                                                                                                                                                      
Mayotte,Country,2006,Number,-,1                                                                                                                                                                                        
Mexico,Country,2006,Number,4.0,                                                                                                                                                                                        
Moldova,Country,2006,Number,1.9,                                                                                                                                                                                       
Monaco,Country,2006,Number,-,1                                                                                                                                                                                         
Mongolia,Country,2006,Number,3.9,                                                                                                                                                                                      
Montenegro,Country,2006,Number,-,1                                                                                                                                                                                     
Morocco,Country,2006,Number,1.3,                                                                                                                                                                                       
Mozambique,Country,2006,Number,0.1,                                                                                                                                                                                    
Myanmar,Country,2006,Number,0.2,                                                                                                                                                                                       
Namibia,Country,2006,Number,1.5,                                                                                                                                                                                       
Nauru,Country,2006,Number,-,1                                                                                                                                                                                          
Nepal,Country,2006,Number,0.1,                                                                                                                                                                                         
Netherlands,Country,2006,Number,10.9,                                                                                                                                                                                  
New Caledonia,Country,2006,Number,-,1                                                                                                                                                                                  
New Zealand,Country,2006,Number,8.9,                                                                                                                                                                                   
Nicaragua,Country,2006,Number,0.7,                                                                                                                                                                                     
Niger,Country,2006,Number,-,1                                                                                                                                                                                          
Nigeria,Country,2006,Number,0.4,                                                                                                                                                                                       
Norway,Country,2006,Number,7.9,                                                                                                                                                                                        
Oman,Country,2006,Number,11.6,                                                                                                                                                                                         
Pakistan,Country,2006,Number,0.8,                                                                                                                                                                                      
Palau,Country,2006,Number,-,1                                                                                                                                                                                          
Palestinian Territory,Country,2006,Number,-,1                                                                                                                                                                          
Panama,Country,2006,Number,1.8,                                                                                                                                                                                        
Papua New Guinea,Country,2006,Number,-,1                                                                                                                                                                               
Paraguay,Country,2006,Number,0.6,                                                                                                                                                                                      
Peru,Country,2006,Number,1.0,                                                                                                                                                                                          
Philippines,Country,2006,Number,0.8,                                                                                                                                                                                   
Poland,Country,2006,Number,8.0,                                                                                                                                                                                        
Portugal,Country,2006,Number,5.3,                                                                                                                                                                                      
Puerto Rico,Country,2006,Number,-,1                                                                                                                                                                                    
Qatar,Country,2006,Number,48.3,                                                                                                                                                                                        
Reunion,Country,2006,Number,-,1                                                                                                                                                                                        
Romania,Country,2006,Number,5.4,                                                                                                                                                                                       
Russia,Country,2006,Number,11.1,                                                                                                                                                                                       
Rwanda,Country,2006,Number,-,1                                                                                                                                                                                         
Samoa,Country,2006,Number,-,1                                                                                                                                                                                          
San Marino,Country,2006,Number,-,1                                                                                                                                                                                     
Sao Tome and Principe,Country,2006,Number,-,1                                                                                                                                                                          
Saudi Arabia,Country,2006,Number,14.4,                                                                                                                                                                                 
Senegal,Country,2006,Number,0.4,                                                                                                                                                                                       
Serbia,Country,2006,Number,7.2,                                                                                                                                                                                        
Seychelles,Country,2006,Number,-,1                                                                                                                                                                                     
Sierra Leone,Country,2006,Number,-,1                                                                                                                                                                                   
Singapore,Country,2006,Number,9.6,                                                                                                                                                                                     
Slovakia,Country,2006,Number,7.0,                                                                                                                                                                                      
Slovenia,Country,2006,Number,7.7,                                                                                                                                                                                      
Solomon Islands,Country,2006,Number,-,1                                                                                                                                                                                
Somalia,Country,2006,Number,-,1                                                                                                                                                                                        
South Africa,Country,2006,Number,7.2,                                                                                                                                                                                  
Spain,Country,2006,Number,7.4,                                                                                                                                                                                         
Sri Lanka,Country,2006,Number,0.6,                                                                                                                                                                                     
St. Kitts-Nevis,Country,2006,Number,-,1                                                                                                                                                                                
St. Lucia,Country,2006,Number,-,1                                                                                                                                                                                      
St. Vincent & the Grenadines,Country,2006,Number,-,1                                                                                                                                                                   
Sudan,Country,2006,Number,0.3,                                                                                                                                                                                         
Suriname,Country,2006,Number,-,1                                                                                                                                                                                       
Swaziland,Country,2006,Number,-,1                                                                                                                                                                                      
Sweden,Country,2006,Number,5.3,                                                                                                                                                                                        
Switzerland,Country,2006,Number,5.8,                                                                                                                                                                                   
Syria,Country,2006,Number,2.7,                                                                                                                                                                                         
Taiwan,Country,2006,Number,11.9,                                                                                                                                                                                       
Tajikistan,Country,2006,Number,0.9,                                                                                                                                                                                    
Tanzania,Country,2006,Number,0.1,                                                                                                                                                                                      
Thailand,Country,2006,Number,3.4,                                                                                                                                                                                      
Timor-Leste,Country,2006,Number,-,1                                                                                                                                                                                    
Togo,Country,2006,Number,0.1,                                                                                                                                                                                          
Tonga,Country,2006,Number,-,1                                                                                                                                                                                          
Trinidad and Tobago,Country,2006,Number,20.3,                                                                                                                                                                          
Tunisia,Country,2006,Number,1.9,                                                                                                                                                                                       
Turkey,Country,2006,Number,3.3,                                                                                                                                                                                        
Turkmenistan,Country,2006,Number,8.9,                                                                                                                                                                                  
