type
small
small
pd
flaked
scratch
spot
chamfer
scratch
scratch
small
small
cracks
small
pd
height
shape
chamfer
lost
small
height
flaked
scratch
small
shape
scratch
axis
pd
intern
flaked
height
small
scratch
spot
small
big
small
small
scratch
scratch
big
shape
small
scratch
pd
chamfer
pd
shape
pd
scratch
scratch
axis
scratch
scratch
scratch
scratch
flaked
small
scratch
shape
intern
cracks
axis
height
scratch
spot
axis
scratch
scratch
small
small
flaked
axis
axis
shape
axis
axis
chamfer
height
small
small
axis
lost
small
scratch
pd
intern
cracks
shape
chamfer
intern
scratch
scratch
scratch
height
small
spot
scratch
scratch
intern
big
scratch
small
shape
spot
chamfer
small
shape
height
lost
lost
small
shape
scratch
pd
cracks
height
small
big
axis
scratch
lost
spot
scratch
chamfer
axis
scratch
flaked
height
pd
big
chamfer
intern
axis
scratch
spot
chamfer
scratch
spot
small
scratch
scratch
cracks
small
scratch
scratch
cracks
height
scratch
scratch
lost
flaked
shape
small
intern
axis
cracks
axis
cracks
pd
intern
small
flaked
small
big
scratch
lost
chamfer
small
shape
small
scratch
small
small
scratch
lost
intern
scratch
scratch
spot
shape
cracks
scratch
height
spot
flaked
scratch
axis
small
scratch
shape
pd
big
axis
scratch
scratch
axis
axis
scratch
axis
height
scratch
chamfer
axis
small
axis
spot
scratch
big
spot
small
scratch
axis
axis
flaked
scratch
chamfer
intern
flaked
height
scratch
chamfer
lost
small
big
scratch
flaked
cracks
chamfer
axis
cracks
spot
shape
height
pd
height
small
scratch
big
big
cracks
small
scratch
shape
axis
scratch
small
shape
scratch
small
small
big
small
axis
flaked
small
scratch
small
height
intern
intern
flaked
scratch
small
height
flaked
small
small
intern
axis
scratch
flaked
axis
small
chamfer
scratch
flaked
lost
scratch
height
axis
axis
axis
chamfer
chamfer
scratch
scratch
small
small
scratch
axis
shape
scratch
chamfer
small
small
scratch
flaked
scratch
pd
height
scratch
cracks
small
spot
scratch
axis
cracks
small
scratch
chamfer
cracks
flaked
small
scratch
small
scratch
chamfer
small
scratch
chamfer
cracks
scratch
axis
scratch
scratch
small
flaked
height
axis
small
scratch
flaked
scratch
lost
shape
shape
height
chamfer
lost
shape
scratch
cracks
scratch
cracks
small
lost
spot
axis
scratch
scratch
big
scratch
small
intern
scratch
chamfer
small
small
axis
cracks
scratch
scratch
lost
lost
axis
chamfer
spot
scratch
shape
scratch
scratch
axis
flaked
lost
cracks
small
axis
small
scratch
flaked
scratch
scratch
scratch
small
axis
chamfer
shape
axis
scratch
big
small
scratch
axis
axis
chamfer
intern
big
height
height
chamfer
intern
scratch
