Employee,Salary
CEO,272500.00
Driver,58456.00
CD74,100702.00
CD65,57380.00
Embellisher,73877.00
Folder,65270.00
GTO,74235.00
Handwork,52718.00
Horizon,76029.00
ITEK,64553.00
Mgmt,108448.00
Platens,69573.00
Polar,75526.00
Pre Press Manager,108448.00
Pre Press Manager/ IT,98837.00
Pre Press/ Graphic Artist,75311.00
Designer,90090.00
Sales,109739.00
Administration,66346.00
