"Per Capita Public Expenditure on Health (US$)"

Location,Location Type,TimeFrame,Data Type,Data,Footnotes
Russia,Country,2009,Currency,$306,
Rwanda,Country,2009,Currency,$21,
Samoa,Country,2009,Currency,$179,
San Marino,Country,2009,Currency,"$3,498",
Sao Tome and Principe,Country,2009,Currency,$37,
Saudi Arabia,Country,2009,Currency,$478,
Senegal,Country,2009,Currency,$33,
Serbia,Country,2009,Currency,$265,
Seychelles,Country,2009,Currency,$281,
Sierra Leone,Country,2009,Currency,$5,
Singapore,Country,2009,Currency,$618,
Slovakia,Country,2009,Currency,$923,
Slovenia,Country,2009,Currency,"$1,526",
Solomon Islands,Country,2009,Currency,$68,
Somalia,Country,2009,Currency,-,1
South Africa,Country,2009,Currency,$195,
Spain,Country,2009,Currency,"$2,218",
Sri Lanka,Country,2009,Currency,$38,
St. Kitts-Nevis,Country,2009,Currency,$376,
St. Lucia,Country,2009,Currency,$294,
St. Vincent & the Grenadines,Country,2009,Currency,$171,
Sudan,Country,2009,Currency,$26,
Suriname,Country,2009,Currency,$701,
Swaziland,Country,2009,Currency,$99,
Sweden,Country,2009,Currency,"$3,343",
Switzerland,Country,2009,Currency,"$4,254",
Syria,Country,2009,Currency,$22,
Taiwan,Country,2009,Currency,-,1
Tajikistan,Country,2009,Currency,$13,
Tanzania,Country,2009,Currency,$19,
Thailand,Country,2009,Currency,$127,
Timor-Leste,Country,2009,Currency,$52,
Togo,Country,2009,Currency,$7,
Tonga,Country,2009,Currency,$127,
Trinidad and Tobago,Country,2009,Currency,$513,
Tunisia,Country,2009,Currency,$130,
Turkey,Country,2009,Currency,$429,
Turkmenistan,Country,2009,Currency,$40,
Tuvalu,Country,2009,Currency,$289,
Uganda,Country,2009,Currency,$8,
Ukraine,Country,2009,Currency,$98,
United Arab Emirates,Country,2009,Currency,"$1,053",
United Kingdom,Country,2009,Currency,"$2,747",
United States,Country,2009,Currency,"$3,602",
Uruguay,Country,2009,Currency,$440,
Uzbekistan,Country,2009,Currency,$29,
Vanuatu,Country,2009,Currency,$77,
Venezuela,Country,2009,Currency,$275,
Vietnam,Country,2009,Currency,$31,
Western Sahara,Country,2009,Currency,-,1
Yemen,Country,2009,Currency,$18,
Zambia,Country,2009,Currency,$36,
Zimbabwe,Country,2009,Currency,$25,

"Footnotes"
1,"(-) Data unavailable, inapplicable, or not collected."
