employee,salary
CEO,272500
Driver,58456
CD74,100702
CD65,57380
Embellisher,73877
Folder,65270
GTO,74235
Handwork,52718
Horizon,76029
ITEK,64553
Mgmt,108448
Platens,69573
Polar,75526
Pre Press Manager,108448
Pre Press Manager/ IT,98837
Pre Press/ Graphic Artist,75311
Designer,90090
Sales,109739
Administration,66346
