Timestamp,What make is your main car/truck?,Gender,How many miles do you live from the Lone Tree Campus?,Favorite ice cream flavor,How much do you pay for rent or mortgage per month to the nearest dollar?,What is your major?,How tall are you in inches? (Give your answer to the nearest inch),Opinion of winter
2019/08/26 11:17:12 AM MDT,Chevrolet,Female,10,Rocky Road,1500,Accounting,6,Loved it
2019/08/26 11:17:43 AM MDT,No car/truck,Female,2,Moose Tracks,,900,68,Liked it
2019/08/26 11:18:13 AM MDT,Honda,Female,2 miles,Mint Chocolate Chip,418,speech language pathology ,63,Loved it
2019/08/26 11:18:25 AM MDT,Ford,Female,7.3 miles,Rocky Road,1189,Pre-Health Careers,66,Loved it
2019/08/26 11:18:35 AM MDT,Jeep,Female,5 miles,Chocolate,815,Dental Hygienist ,5.3,Liked it
2019/08/26 11:19:58 AM MDT,Volkswagen,Male,5 miles,Mint Chocolate Chip,600,Business,74,Liked it
2019/08/27 2:02:48 PM MDT,Toyota,Male,8,Sherbet,1500,Forestry Science ,71,Liked it
2019/08/27 5:09:07 PM MDT,Chevrolet,Male,10 miles,Cookies and Cream,1400,Business Management ,72,Liked it
2019/08/27 5:17:17 PM MDT,Honda,Male,2.2 miles,Sherbet,850,business marketing ,66,Hated it
2019/08/27 5:17:33 PM MDT,Ford,Female,5 miles,Vanilla,0,Dental Hygiene,63,Liked it
2019/08/27 5:19:26 PM MDT,I own a Subaru and a Jeep,Male,5,Rocky Road,0,Accounting,70,Liked it
2019/08/27 5:21:12 PM MDT,Nissan,Female,1.5,Rocky Road,1258,Forestry,67,Loved it
2019/08/27 5:34:43 PM MDT,Honda,Male,2.2,Cookie Dough,750,Forestry,66,Liked it
2019/08/27 5:36:04 PM MDT,Chevrolet,Female,10,Rocky Road,1500,Accounting,6,Loved it
2019/08/27 5:47:23 PM MDT,Hyundai,Female,12,Cookies and Cream,217,Business- Finance,67,Don't like it
2019/08/27 8:48:08 PM MDT,Toyota,Male,6.5,Cookie Dough,0,None,74,Liked it
2019/08/28 1:03:09 AM MDT,No car/truck,Male,3,Cookies and Cream,750,Accounting,68,Loved it
2019/08/28 5:52:24 AM MDT,Toyota,Male,3,Strawberry,700,General Studies,69,Loved it
2019/08/28 8:30:35 AM MDT,,Male,6,Butter Pecan,500,Environmental Science,70,Loved it
2019/08/28 10:27:53 AM MDT,Suzuki,Male,4,Chocolate Chip,375,Business,71,Liked it
2019/09/06 11:59:51 PM MDT,Toyota,Female,,Rocky Road,650,math,64,Liked it
2020/08/24 7:31:31 PM MDT,Subaru,Male,5,Cake Batter,650,BioMedical,71,Loved it
2020/08/24 7:55:14 PM MDT,Toyota,Male,5 miles,I like them all,1758,Forestry,75,Liked it
2020/08/24 7:57:56 PM MDT,Saturn ,Female,1.3,Gelato,368,Bio Education ,64,Liked it
2020/08/24 8:04:09 PM MDT,Buick,Male,5,Cotton Candy,600,Finance,72,Liked it
2020/08/25 12:27:40 AM MDT,Honda,Male,12.7,Mint Chocolate Chip,0,Pre Health,69,Don't like it
2020/08/25 12:32:00 PM MDT,Nissan,Male,3,Cookies and Cream,590,Business,60,Don't like it
2020/08/25 2:49:06 PM MDT,Chevrolet,Male,3,Strawberry,700,Forestry ,72,Loved it
2020/08/25 7:35:28 PM MDT,Kia,Female,2,Strawberry,700,communication sciences and disorders ,62,Loved it
2020/08/25 9:50:44 PM MDT,Toyota,,14,Reese's Peanut Butter Cup,560,General Business ,70,Loved it
2020/08/26 10:21:50 AM MDT,Volkswagen,Male,About 5 miles,Mint Chocolate Chip,2100,Business,74,Loved it
2020/08/26 10:33:08 AM MDT,Ford,Female,2.2 mi,Sherbet,678,Environmental Science,64,Loved it
2020/08/26 10:48:05 AM MDT,Nissan,Male,4,Cookie Dough,450,Finance,73,Liked it
2020/08/26 11:02:05 AM MDT,Jeep,Female,5,Vanilla bean,250,Nursing ,63,Liked it
2020/08/26 11:13:49 AM MDT,Ford,Male,2.3 miles,Cookie Dough,784,Business management,67,Loved it
2020/08/26 12:17:27 PM MDT,Toyota,Male,3.5,Strawberry,600,Business Marketing,74,Loved it
2020/08/26 12:18:26 PM MDT,Dodge,Male,6,Cookies and Cream,1450,business,71,Loved it
