life
15.81
12.72
10.79
13.34
15.97
9.89
12.57
16.86
11.23
10.41
13.15
12.26
15.45
14.28
10.44
12.60
13.12
12.91
16.18
12.27
14.99
13.91
12.84
16.39
12.27
9.56
11.23
14.25
11.97
15.15
16.30
12.41
12.63
13.82
14.32
